y/h,y^+,U,u'u',v'v',w'w',-Om_z+,om_x'+,om_y'+,om_z'+,u'v',u'w',v'w',pr'+,ps'+,psto'+,p',k,dU/dy
0.0,0.0,2.4579253e-06,1.8276598e-05,7.3207718e-07,5.2513315e-06,1.0000019,0.2761949,8.5189629e-07,0.4165009,-2.8251789e-15,1.5345246e-11,1.9747504e-16,1.7027256,1.5662574,0.27731025,2.5080378,1.213000334e-05,1.0010016725583424
3.3438205e-05,0.031230073,0.031258401,0.01300781,1.2303807e-05,0.0085988371,0.99996883,0.2740339,0.00094824581,0.41610619,-2.9961335e-08,-1.0266953e-07,9.5849899e-12,1.7027256,1.5662578,0.27668196,2.5077498,0.0108094754535,1.0006550686666937
0.00013381243,0.12497596,0.12501693,0.051978283,0.00019307256,0.033998318,0.99986988,0.26777777,0.0037932207,0.41519034,-2.0189079e-06,-1.6474378e-06,5.3220106e-10,1.7027503,1.5662839,0.27481511,2.5069342,0.043084836779999997,0.9997541176763073
0.00030124187,0.281349,0.28125221,0.11675921,0.00095398206,0.075040497,0.99968332,0.25771186,0.0085359383,0.41408053,-2.3319566e-05,-8.342382e-06,5.9804863e-09,1.7028491,1.5663911,0.27176264,2.5057056,0.09637684453,0.9994745101052906
0.00053536893,0.5000152,0.4999122,0.20715441,0.0029157405,0.12991557,0.99934196,0.2445122,0.015179479,0.41285443,-0.00013352792,-2.6371605e-05,3.2723708e-08,1.70312,1.5666867,0.26760852,2.5042748,0.16999286025000002,0.9994779191912553
0.00083655119,0.78130853,0.78088003,0.32293084,0.0068205334,0.1963066,0.9986558,0.22870868,0.023725027,0.41167423,-0.00051983143,-6.433278e-05,1.2041325e-07,1.7036829,1.5673184,0.2624622,2.5029175,0.26302898669999997,0.9984733163688057
0.0012045502,1.1250063,1.1238979,0.46375942,0.013432829,0.2715674,0.99722707,0.21114604,0.034158573,0.41025621,-0.0015825152,-0.00013308383,3.4276115e-07,1.7046989,1.5685047,0.25645158,2.5020065,0.37437982449999996,0.9970287888156629
0.0016394257,1.5311643,1.5283725,0.62895888,0.023440028,0.35289741,0.99432665,0.19255635,0.046420917,0.40793911,-0.004047811,-0.00024515603,8.1670095e-07,1.7063371,1.5705315,0.24971585,2.5019782,0.502648159,0.9940073329950669
0.0021410585,1.9996711,1.993073,0.81705183,0.037374206,0.43752667,0.98881048,0.17418115,0.060363639,0.40354568,-0.0090627978,-0.00041364334,1.706729e-06,1.7087828,1.5737852,0.24239831,2.5033505,0.645976353,0.988329659315756
0.002709508,2.5305824,2.515655,1.0251472,0.055560395,0.52288854,0.97909838,0.15732796,0.075702861,0.39581737,-0.01820503,-0.00065002369,3.2243547e-06,1.7121929,1.5787412,0.23464034,2.5066669,0.8017980675,0.9783034872487977
0.0033447742,3.123898,3.0921142,1.2484313,0.078101598,0.60678715,0.96332842,0.14379197,0.091997735,0.38387963,-0.033339866,-0.00096138997,5.6074982e-06,1.7166919,1.5859801,0.22657615,2.5124857,0.9666600240000001,0.9623121196685533
0.0040466786,3.7794514,3.7162414,1.4800307,0.10489271,0.68752247,0.9396686,0.13491152,0.1086714,0.36789498,-0.056297693,-0.001346781,9.069031e-06,1.7223166,1.5961528,0.21832938,2.5213003,1.1362229400000001,0.9385911440022596
0.0048152208,4.497242,4.3793664,1.7115113,0.13565932,0.76395738,0.90676248,0.13144149,0.1250751,0.34917074,-0.088439181,-0.001793777,1.3666015e-05,1.7290084,1.6099631,0.21001028,2.5335188,1.305564,0.9056670330662717
0.0056504605,5.2773256,5.0704541,1.9338894,0.17000572,0.83549845,0.86412579,0.13271627,0.14057267,0.32985389,-0.13024813,-0.0022762083,1.9088993e-05,1.7365651,1.6280926,0.20171489,2.5493922,1.469696785,0.8631793897676139
0.0065522196,6.1195359,5.7767596,2.1388896,0.20746295,0.90200019,0.81237823,0.13735195,0.15462045,0.3121151,-0.18110919,-0.0027576312,2.4559331e-05,1.7446537,1.6511387,0.19352417,2.5690122,1.62417637,0.8118010266432898
0.0075204372,7.0238161,6.4848032,2.3199968,0.24752676,0.96361488,0.75318855,0.14366534,0.16682148,0.29737544,-0.23935346,-0.0032004938,2.9158638e-05,1.7528007,1.6795039,0.18550497,2.5922668,1.7655692200000002,0.7530298243441562
0.0085551741,7.9902229,7.181592,2.473084,0.28968123,1.0206305,0.6889925,0.15037604,0.17694756,0.28593305,-0.30254862,-0.0035782652,3.2461456e-05,1.7604499,1.7133223,0.17771024,2.6188624,1.8916978650000003,0.6892796407062747
0.0096561908,9.0185328,7.8556666,2.596483,0.33341137,1.073341,0.62255377,0.15666625,0.18493046,0.27711934,-0.36793032,-0.0038826549,3.47649e-05,1.7669951,1.7523748,0.17018095,2.648303,2.0016176850000003,0.6232838066505333
0.010823489,10.108747,8.4979229,2.690666,0.37820646,1.1219684,0.55653942,0.16207996,0.19083302,0.2699042,-0.43283251,-0.0041249655,3.6578087e-05,1.7718652,1.7960802,0.16294673,2.6799345,2.09542043,0.55760055210252
0.012056947,11.260752,9.1019249,2.7576599,0.42356446,1.1666468,0.49318156,0.16650094,0.19480935,0.26330775,-0.49502003,-0.0043302663,3.7851805e-05,1.7745608,1.8435091,0.15602808,2.7129538,2.17393558,0.49444432724649845
0.013356626,12.474606,9.6639156,2.8004515,0.46899611,1.2074455,0.43411112,0.16985674,0.19706638,0.25673512,-0.55285919,-0.0045294338,3.773583e-05,1.7747178,1.8934795,0.14943697,2.7464838,2.238446555,0.43545073297175163
0.014722347,13.750139,10.182448,2.8224456,0.51403672,1.2444135,0.38032147,0.1722777,0.19783069,0.24987584,-0.60535175,-0.004747692,3.5200836e-05,1.7721103,1.9446623,0.14317906,2.7796118,2.29044791,0.3816716213758786
0.016153991,15.087243,10.657951,2.8271015,0.55825502,1.2776133,0.33225355,0.17376949,0.19732673,0.24269612,-0.65205145,-0.0049952208,3.0162297e-05,1.7666714,1.9957186,0.13725403,2.8114772,2.3314849100000004,0.3335509133703116
0.017651439,16.485806,11.092157,2.8176804,0.60126817,1.3071454,0.28991693,0.17451116,0.19576311,0.23523842,-0.69294423,-0.0052592135,2.3920689e-05,1.7584608,2.0454061,0.1316576,2.8413079,2.363046985,0.2911131082837879
0.019214691,17.945826,11.487691,2.7971408,0.64274681,1.3331497,0.25303316,0.17450747,0.19332732,0.2276102,-0.72830504,-0.0055059874,1.8530563e-05,1.7476583,2.0926707,0.12638153,2.8684812,2.386518655,0.25410124431491665
0.020843566,19.467136,11.847613,2.7680738,0.68242496,1.3558047,0.22114815,0.17393769,0.19018422,0.21989484,-0.75858736,-0.0056948992,1.6307133e-05,1.7345172,2.1366868,0.1214155,2.8925271,2.40315173,0.22208980585408034
0.022537948,21.049627,12.175204,2.7327158,0.72009617,1.3753181,0.19373098,0.17280306,0.18647864,0.21216936,-0.78432447,-0.0057984903,1.9807494e-05,1.7193537,2.176868,0.11674677,2.9131415,2.414065035,0.1945447955441919
0.024297833,22.693296,12.473691,2.6929522,0.75561601,1.3919207,0.1702311,0.17127116,0.18233754,0.20448501,-0.80607307,-0.0058116922,3.146509e-05,1.7025019,2.2128437,0.1123618,2.9301522,2.420244455,0.17092577619816796
0.026122987,24.397924,12.746189,2.6503594,0.78889161,1.4058664,0.15012322,0.16933173,0.17787309,0.19688576,-0.82436568,-0.0057521933,5.2864234e-05,1.6843128,2.2444289,0.10824573,2.943512,2.422558705,0.15071747691657977
0.02801329,26.163399,12.995564,2.6062164,0.81988102,1.4174222,0.13292609,0.16711508,0.17318481,0.18941455,-0.83968902,-0.0056510568,8.4211337e-05,1.6651183,2.2715867,0.10438384,2.9532564,2.42175981,0.1334303115886173
0.029968739,27.989717,13.224475,2.5615523,0.84857982,1.4268534,0.11821903,0.1646034,0.16836031,0.18211952,-0.85246438,-0.0055344631,0.00012634811,1.6452384,2.2943885,0.10076074,2.959497,2.41849276,0.11864611579336026
0.031989038,29.876604,13.435297,2.5171711,0.87502086,1.4344054,0.10563883,0.16191138,0.16347471,0.17506406,-0.86305219,-0.0053998819,0.00018000402,1.6249559,2.3129911,0.09736184,2.9623945,2.41329868,0.10600360824059685
0.034074129,31.824003,13.630219,2.4737082,0.89925867,1.4403044,0.094875403,0.15902178,0.1585923,0.16827753,-0.87175691,-0.0052215219,0.00024434717,1.6045283,2.3276019,0.094172269,2.962148,2.4066356349999998,0.09518392631599504
0.03622389,33.831802,13.811166,2.4316304,0.92137033,1.4447435,0.085656717,0.15601936,0.1537677,0.16179076,-0.8788473,-0.0049940399,0.00032025462,1.5841682,2.3384504,0.091178298,2.9589624,2.3988721149999996,0.08591626153408205
0.038438199,35.899887,13.979889,2.3912692,0.94144624,1.4478879,0.077748701,0.15289152,0.14904441,0.155626,-0.88455826,-0.0047608609,0.0004099824,1.5640591,2.345788,0.088366181,2.9530642,2.39030167,0.07796872357021956
0.040716769,38.027988,14.137897,2.3528388,0.95959258,1.449862,0.070950486,0.1497087,0.14445561,0.14981025,-0.88909262,-0.0045873709,0.0005142783,1.5443414,2.3498876,0.085723504,2.9446907,2.3811466899999996,0.07113803109256978
0.043059586,40.216095,14.286557,2.3164737,0.97591853,1.4507672,0.065093577,0.14647388,0.14002526,0.14434369,-0.89261913,-0.0045310436,0.00063014583,1.5251303,2.3510191,0.083237901,2.9340827,2.371579715,0.06524980595670371
0.045466541,42.464104,14.427026,2.282244,0.99053687,1.4506972,0.060031671,0.14324011,0.13577074,0.13922623,-0.89528233,-0.0046385108,0.00075152761,1.5065035,2.3494337,0.080898426,2.9214602,2.3617390350000003,0.06016402753592187
0.047937274,44.771679,14.560359,2.2501867,1.0035579,1.4497663,0.055643395,0.139998,0.13170297,0.13443983,-0.8972013,-0.0049102944,0.0008689423,1.4885203,2.3453619,0.078694195,2.9070299,2.35175545,0.0557563726911523
0.050471785,47.138821,14.687427,2.2202959,1.0150942,1.4480816,0.051825076,0.1367828,0.12782605,0.12997219,-0.89847457,-0.0053029493,0.00097252778,1.4712105,2.3390458,0.076615736,2.8910019,2.34173585,0.051920747381756005
0.05306983,49.5653,14.809036,2.1925299,1.0252569,1.4457513,0.048492555,0.13359305,0.12414068,0.1257953,-0.89918596,-0.0057624658,0.0010554839,1.4545927,2.3307436,0.074653596,2.8736074,2.33176905,0.048573448461251
0.055731297,52.051014,14.925844,2.1667883,1.0341551,1.442856,0.045572218,0.13045885,0.12064503,0.12190602,-0.89940619,-0.0062435889,0.0011141681,1.4386624,2.3206823,0.072799698,2.855046,2.3218997,0.045640636382805244
0.058455946,54.595737,15.038467,2.1429527,1.0418924,1.4394665,0.043000732,0.12738341,0.11733308,0.11827914,-0.8992005,-0.0067077852,0.0011498753,1.4234096,2.3090513,0.071045898,2.8354857,2.3121558,0.04305878221626891
0.061243535,57.199245,15.147378,2.120893,1.0485696,1.435642,0.040719848,0.12437622,0.11419637,0.11489341,-0.89862984,-0.0070956065,0.0011614194,1.4088068,2.2960374,0.069385372,2.815084,2.3025523000000003,0.04076937049085716
0.064094066,59.861538,15.253024,2.1004951,1.0542853,1.4314293,0.038685858,0.12144051,0.11122661,0.11171995,-0.89774382,-0.0073358272,0.0011456173,1.3948276,2.2818546,0.067811161,2.7940235,2.2931048499999998,0.03872697249030521
0.067007186,62.582287,15.355734,2.0816479,1.059134,1.4268584,0.036858436,0.11859197,0.10841573,0.10873584,-0.89658076,-0.0074091908,0.0011010555,1.3814342,2.2667372,0.066317536,2.7724905,2.2838201500000004,0.036895106275134815
0.069982704,65.361313,15.455838,2.0642343,1.0632008,1.4219866,0.035210092,0.11583214,0.10575315,0.10593141,-0.89517647,-0.0073896982,0.0010357434,1.3685932,2.2508976,0.064898536,2.7506485,2.27471085,0.03524206793510931
0.073020579,68.198578,15.553572,2.0481129,1.0665629,1.4168633,0.033719212,0.11315463,0.10322692,0.10330778,-0.89355093,-0.0073810839,0.00097231806,1.356264,2.2344823,0.063549407,2.7285972,2.26576955,0.033747303994548616
0.076120439,71.093735,15.64921,2.0331516,1.0692905,1.4115068,0.032368701,0.11055739,0.10082667,0.10084709,-0.89172059,-0.0074186991,0.0009258326,1.3444108,2.217587,0.062265053,2.7064002,2.25697445,0.03239188075568178
0.079282169,74.046677,15.742928,2.0192335,1.07145,1.405913,0.031132044,0.10805252,0.098543793,0.098516867,-0.88971031,-0.0074915271,0.0008912367,1.3329906,2.2003012,0.061041512,2.6841133,2.24829825,0.031152090561978873
0.082505468,77.057121,15.834914,2.0062554,1.0731097,1.4001147,0.029992675,0.10563296,0.096371427,0.096296646,-0.88754261,-0.0076025799,0.00085315836,1.3219682,2.1827483,0.059874423,2.6618285,2.2397399,0.03001030654589787
0.085790222,80.124962,15.925276,1.9941095,1.074331,1.3941492,0.028937029,0.1033105,0.094299003,0.094192676,-0.88522583,-0.0077815866,0.00080193736,1.3113035,2.165056,0.058760494,2.6396379,2.23129485,0.028952656685877987
0.089136127,83.249916,16.014154,1.9827119,1.0751634,1.3880773,0.027954532,0.10107861,0.092317231,0.092183098,-0.88277894,-0.0080566471,0.00074178301,1.3009658,2.1473181,0.057695989,2.6176093,2.2229763,0.02796836011918069
0.092543004,86.431816,16.101614,1.9719973,1.0756463,1.3819401,0.027036214,0.098932087,0.090421773,0.090246715,-0.88022536,-0.0083687119,0.00067963498,1.2909211,2.1295948,0.056678176,2.5957751,2.21479185,0.027049542098789292
0.09601069,89.670509,16.187778,1.9618934,1.0758162,1.3757694,0.026181033,0.096860342,0.088607609,0.088401131,-0.87758255,-0.0086041559,0.00061843515,1.2811443,2.1119421,0.055703826,2.5741684,2.2067395,0.026192990565904406
0.099538866,92.965698,16.272709,1.9523299,1.0757058,1.3695667,0.025383603,0.09487471,0.086866722,0.086654529,-0.87484229,-0.0086819138,0.00055722514,1.2716053,2.0944166,0.054770675,2.5528207,2.1988012,0.025394204873290693
