y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,4.176503139302004e-36,0.000000000000000e+00,-4.685006664461505e-10,0.000000000000000e+00,-6.964740163543050e-40,0.000000000000000e+00,-2.342503332230753e-10,8.936098063364592e-02,2.886906419016290e-67,1.995486318653752e-01,-1.375578898600105e-40,2.715415594432874e-05,-6.259325343841742e-39,9.939633806175662e+00,5.516143523730728e-17,0.000000000000000e+00,3.628963357018010e-19
1.371071353273301e-05,7.110235019829264e-02,7.110185565654703e-02,9.999858899371266e-01,-1.120892048566094e-05,-4.717271551396461e-09,1.005729630036473e-03,4.711428583307734e-09,4.434640182224768e-04,-3.980482056045502e-07,-8.647142289694951e-08,6.027251848120077e-11,7.245991798437662e-04,8.628965994558614e-02,5.090848629817768e-06,1.988397591478507e-01,-1.578853566377124e-04,2.751221730980567e-05,1.468530701946445e-08,9.935849607453962e+00,1.083623980352462e-02,-6.782855914466370e-05,2.394258909662166e-05
4.169953934984871e-05,2.162495221624994e-01,2.162444005069231e-01,9.999469147763482e-01,-3.409120844921682e-05,-3.851045470507787e-07,9.271134506947366e-03,3.846287241004186e-07,3.959368754374734e-03,-1.137182466915140e-05,-8.119894627154512e-07,1.722110955671311e-09,6.615443945023100e-03,8.041709965055051e-02,4.710284477888061e-05,1.976165630874825e-01,-4.873031503313851e-04,2.817088846185665e-05,5.082651826437577e-08,9.928791698956033e+00,3.279666378398838e-02,-6.026616889032793e-04,7.283456590232461e-05
8.453381948780869e-05,4.383836933411095e-01,4.383546313113363e-01,9.998185653292309e-01,-6.911049414492229e-05,-6.055742723250330e-06,3.792463528677893e-02,6.048292318467310e-06,1.542632970008592e-02,-9.679784760567144e-05,-3.408324203057311e-06,1.466384983529192e-08,2.667850663959166e-02,7.234167357578455e-02,1.937023739121107e-04,1.961887134178816e-01,-9.985992594718569e-04,2.897977212972163e-05,1.201511389715508e-07,9.919715385906811e+00,6.567256251723959e-02,-2.329675821919569e-03,1.477124340408706e-04
1.427808370142447e-04,7.404467353763260e-01,7.403063177345499e-01,9.993785912833543e-01,-1.167228118251095e-04,-4.477271293683394e-05,1.075991555237776e-01,4.471795879474329e-05,4.099239747611752e-02,-4.781457254533120e-04,-9.973360601192436e-06,7.246230200962353e-08,7.431813547934493e-02,6.284888346739832e-02,5.530432007471042e-04,1.947417918966317e-01,-1.675722966958926e-03,2.969733711619621e-05,2.354271788293381e-07,9.910711479648986e+00,1.082096419870689e-01,-6.121440139396993e-03,2.496946433512753e-04
2.170078137750941e-04,1.125380202420942e+00,1.124780601314649e+00,9.980626149911919e-01,-1.773545210429150e-04,-2.117845420306204e-04,2.469056764728029e-01,2.115274855986984e-04,8.669774386414202e-02,-1.718677337371014e-03,-2.365298783456456e-05,2.605719407305371e-07,1.669074739112718e-01,5.279329391710210e-02,1.276950234269174e-03,1.930073344278949e-01,-2.443796566438710e-03,3.001004988402687e-05,4.030071712238279e-07,9.904811835576988e+00,1.576125115053092e-01,-1.275767698859889e-02,3.800244883731410e-04
3.077819081407362e-04,1.596125319450033e+00,1.593912181611315e+00,9.947055589386127e-01,-2.513472213090199e-04,-7.417624650345510e-04,4.920761127102227e-01,7.408701319817946e-04,1.570620498637934e-01,-4.981768284725916e-03,-4.865495282468065e-05,7.554202778435900e-07,3.249395163529989e-01,4.305064105800623e-02,2.556155943013511e-03,1.899554676301969e-01,-3.142246932803354e-03,2.957507181554624e-05,6.131501520272474e-07,9.906070882741329e+00,2.094291205077269e-01,-2.270333411554191e-02,5.400556382514084e-04
4.156702127537937e-04,2.155622970581291e+00,2.148568636179321e+00,9.872936380317611e-01,-3.388468831528463e-04,-2.088000981742419e-03,8.839683134634549e-01,2.085514823428185e-03,2.540232003608626e-01,-1.227870555596587e-02,-8.978143645795672e-05,1.860546199885885e-06,5.700385143238729e-01,3.448604884591751e-02,4.594546867994451e-03,1.838358563842561e-01,-3.529544820641449e-03,2.810165644374601e-05,8.353642022129199e-07,9.919529218431610e+00,2.580465246739688e-01,-3.598351301127142e-02,7.310501017923076e-04
5.275290387434239e-04,2.735711337193032e+00,2.717918867902522e+00,9.748179109346057e-01,-4.286940414824093e-04,-4.579575611199115e-03,1.391516383504098e+00,4.574179300730613e-03,3.628868345096443e-01,-2.463060294009045e-02,-1.438436521909353e-04,3.725004435692765e-06,8.794886986572366e-01,2.842634352652577e-02,7.203034699840307e-03,1.743305900886896e-01,-3.392856802420595e-03,2.581064221913575e-05,1.013484757536019e-06,9.946731439280768e+00,2.942914301671873e-01,-5.041446209530797e-02,9.292724581116674e-04
6.433579417870483e-04,3.336388115074059e+00,3.298192924991181e+00,9.562887308572535e-01,-5.203154642490620e-04,-8.564745293001347e-03,2.002918592492006e+00,8.554758821811920e-03,4.790678189993579e-01,-4.302616760017188e-02,-2.090492999646163e-04,6.487550667019493e-06,1.245270585156588e+00,2.453093148792957e-02,1.028561117388471e-02,1.619247675639013e-01,-2.729983142757601e-03,2.305777329757234e-05,1.147236454189369e-06,9.988273145341296e+00,3.186508837123821e-01,-6.533834107309677e-02,1.133235913965035e-03
