y/h,y^+,U,u'u',v'v',w'w',-Om_z+,om_x'+,om_y'+,om_z'+,u'v',u'w',v'w',P,k,dU/dy
0.0,0.0,0.0,0.0002632981,0.0,0.0003307637,1.0,0.2961241,0.0,0.4421986,0.0,-5.387198e-12,0.0,3.094902,0.0002970309,1.000209861363154
7.522783e-05,0.3143681,0.314412,0.1387964,0.001597273,0.09054154,1.00028,0.2746748,0.009943401,0.4405716,-3.55235e-05,9.136699e-06,-5.521314e-08,3.092432,0.1154676065,1.0000694290610337
0.0001793936,0.7496643,0.7496961,0.3296465,0.007053042,0.2035221,0.9996645,0.2479244,0.02372518,0.4379606,-0.0004945921,5.223525e-05,-7.657868e-07,3.090122,0.270110821,0.9993344414325862
0.0003115896,1.302095,1.301312,0.5699363,0.01899207,0.3315311,0.9973849,0.2188421,0.04117563,0.4351375,-0.002668708,0.0001583581,-4.101064e-06,3.089044,0.460229735,0.9964616743510828
0.0004709551,1.968065,1.963269,0.8549929,0.039003,0.4655855,0.9905634,0.1902786,0.06186442,0.4286136,-0.009319093,0.0003626551,-1.422481e-05,3.090484,0.6797907,0.98879048905062
0.000656674,2.744162,2.725978,1.175232,0.06766629,0.598405,0.9749369,0.1662005,0.08484854,0.41461,-0.0247599,0.0007026914,-3.764682e-05,3.095814,0.920651645,0.9722447627931088
0.0008679733,3.627156,3.573911,1.514018,0.1046261,0.7246612,0.9456478,0.1505687,0.1086351,0.3916868,-0.05383175,0.001211295,-8.185339e-05,3.106281,1.17165265,0.9424352432736272
0.001104119,4.61398,4.484234,1.849169,0.1488593,0.8412952,0.8993065,0.1450584,0.131492,0.3629464,-0.0999364,0.001906868,-0.0001524999,3.122774,1.41966175,0.8963279483099644
0.001364413,5.70172,5.427853,2.158069,0.1989998,0.9471791,0.8357034,0.1476548,0.1518856,0.3341802,-0.1632738,0.002785378,-0.0002506963,3.145657,1.65212395,0.8337570661227325
0.001648192,6.887596,6.372955,2.42317,0.2535943,1.042467,0.7582272,0.1544459,0.1687862,0.3102584,-0.2404587,0.003818645,-0.0003721676,3.174701,1.85961565,0.7577983487737918
0.001954821,8.168964,7.289745,2.635065,0.3112497,1.127876,0.6727271,0.1621836,0.181755,0.2926695,-0.3256432,0.004960167,-0.0005086977,3.209113,2.03709535,0.6738462055370125
0.0022837,9.543306,8.154473,2.792389,0.3706779,1.204172,0.5856618,0.169076,0.1908546,0.2799274,-0.4123722,0.006155496,-0.0006506936,3.247616,2.18361945,0.5879945265993922
0.002634252,11.00822,8.951503,2.899636,0.4306987,1.271967,0.5024969,0.1744376,0.1964753,0.2696694,-0.4951767,0.007352684,-0.0007894895,3.288584,2.30115085,0.5055496818759324
0.003005929,12.56141,9.673267,2.964438,0.4902403,1.331733,0.4268958,0.1781569,0.1991601,0.2601698,-0.5703963,0.008509555,-0.0009188089,3.330217,2.39320565,0.4301943183161278
0.003398205,14.20069,10.31878,2.995325,0.5483582,1.383904,0.3606617,0.1803656,0.1994755,0.2506444,-0.636225,0.009596692,-0.001035129,3.370748,2.4637936,0.3638571687385039
0.00381058,15.92396,10.8916,3.000358,0.6042603,1.42896,0.3041493,0.181268,0.1979393,0.2409217,-0.6923127,0.01059701,-0.001137178,3.408635,2.51678915,0.3070381547835414
0.004242573,17.7292,11.39791,2.986482,0.6573281,1.467456,0.2567854,0.1810756,0.1949917,0.2310834,-0.7392306,0.01150347,-0.001225017,3.442685,2.55563305,0.2592831923725271
0.004693723,19.61451,11.84503,2.959376,0.7071205,1.500011,0.2175343,0.1799818,0.190995,0.2212639,-0.7780169,0.01231647,-0.001299296,3.472095,2.58325375,0.2196300935197421
0.005163592,21.57803,12.24043,2.923526,0.7533638,1.527282,0.1852096,0.1781578,0.1862443,0.2115812,-0.8098566,0.01304134,-0.001361121,3.496426,2.6020859,0.1869365821242157
0.005651756,23.61801,12.59118,2.882393,0.7959293,1.549924,0.1586616,0.1757499,0.1809803,0.2021274,-0.8359012,0.01368624,-0.001412257,3.515537,2.61412315,0.1600679062775323
0.00615781,25.73275,12.90366,2.838599,0.8348068,1.568564,0.136864,0.1728813,0.1754004,0.1929776,-0.8571764,0.01426027,-0.001454971,3.529527,2.6209849,0.1380008090061877
0.006681363,27.92061,13.18349,2.794086,0.8700768,1.583774,0.1189442,0.1696567,0.1696656,0.1841967,-0.8745566,0.01477184,-0.001491318,3.538668,2.6239684,0.1198638472536361
0.007222041,30.18004,13.43556,2.750258,0.9018856,1.596055,0.1041787,0.1661669,0.1639056,0.1758433,-0.8887648,0.01522792,-0.001522805,3.543331,2.6240993,0.1049231547980777
0.007779486,32.50954,13.66403,2.708093,0.9304231,1.605836,0.09197794,0.1624892,0.1582217,0.1679652,-0.9003917,0.0156343,-0.001550535,3.543922,2.62217605,0.0925806678621268
0.008353352,34.90765,13.87248,2.668245,0.9559058,1.613479,0.08186212,0.1586875,0.1526904,0.1605918,-0.9099171,0.01599637,-0.00157507,3.540865,2.6188149000000003,0.0823516690797303
0.008943304,37.37299,14.06392,2.631118,0.9785632,1.61929,0.07344273,0.1548166,0.1473662,0.1537334,-0.9177307,0.01631997,-0.001596654,3.534579,2.6144856,0.0738386484565327
0.009549021,39.90421,14.24091,2.596923,0.9986288,1.623525,0.06640425,0.1509218,0.1422853,0.1473869,-0.9241479,0.01661063,-0.001615803,3.52547,2.6095384,0.0667243694085697
0.0101702,42.50003,14.4056,2.565728,1.016333,1.626401,0.06049062,0.1470397,0.1374686,0.141536,-0.929426,0.0168728,-0.00163322,3.513946,2.604231,0.0607511138839478
0.01080653,45.15918,14.55981,2.537497,1.031899,1.628101,0.05549342,0.143201,0.1329252,0.1361555,-0.9337733,0.01711053,-0.001649036,3.500395,2.5987485,0.0557085697928445
0.01145773,47.88048,14.70505,2.512119,1.045538,1.628784,0.05124415,0.1394307,0.1286544,0.1312136,-0.9373592,0.01732797,-0.001663459,3.485149,2.5932205,0.051419310444114
0.01212353,50.66277,14.84256,2.489434,1.05745,1.62859,0.04760613,0.135748,0.1246491,0.1266741,-0.9403208,0.01752875,-0.001676782,3.468515,2.587737,0.0477492123316456
0.01280365,53.50492,14.97341,2.469253,1.06782,1.627638,0.04446922,0.1321661,0.1208973,0.1224993,-0.942769,0.01771532,-0.001689788,3.450802,2.5823555,0.0445879124666723
0.01349784,56.40586,15.09846,2.451368,1.076819,1.626035,0.04174396,0.1286958,0.1173842,0.1186545,-0.9447936,0.01788815,-0.001703143,3.432304,2.577111,0.0418402724183444
0.01420585,59.36453,15.21843,2.435572,1.084605,1.623873,0.03935819,0.1253448,0.1140935,0.1151058,-0.9464677,0.01804664,-0.001716893,3.413275,2.572025,0.0394383643971036
0.01492743,62.37992,15.33394,2.421657,1.091321,1.621233,0.03725323,0.1221188,0.1110083,0.1118209,-0.9478502,0.0181909,-0.001730291,3.393892,2.5671055000000003,0.0373218951104816
0.01566234,65.45106,15.44548,2.409427,1.097094,1.618193,0.03538216,0.1190198,0.108112,0.1087697,-0.9489892,0.01832261,-0.001743026,3.374283,2.562357,0.0354388357474233
0.01641038,68.577,15.55346,2.398693,1.102041,1.61482,0.0337069,0.1160473,0.1053887,0.1059268,-0.9499226,0.01844393,-0.001755,3.354558,2.557777,0.0337541800782132
0.0171713,71.75682,15.65824,2.389279,1.106264,1.611175,0.03219667,0.1131999,0.1028233,0.1032686,-0.9506825,0.01855679,-0.001766338,3.334854,2.553359,0.0322373217901135
0.01794491,74.98964,15.76011,2.381028,1.109856,1.607311,0.03082668,0.1104758,0.1004021,0.1007754,-0.9512943,0.01866275,-0.001777327,3.315292,2.5490975,0.0308630286103648
0.018731,78.27459,15.85933,2.373794,1.112898,1.603275,0.02957703,0.1078724,0.09811245,0.09843022,-0.951779,0.01876285,-0.001788192,3.295949,2.5449835,0.0296081755653352
0.01952936,81.61084,15.95609,2.367443,1.115463,1.599111,0.02843117,0.1053861,0.09594287,0.09621977,-0.9521535,0.01885724,-0.001799354,3.276894,2.5410085,0.0284568701743563
0.0203398,84.99759,16.05059,2.361858,1.117615,1.594855,0.02737526,0.1030108,0.09388317,0.09413057,-0.9524325,0.01894506,-0.001811214,3.258189,2.537164,0.0273992683410879
0.02116214,88.43403,16.14299,2.356936,1.119409,1.590537,0.02639747,0.1007418,0.09192409,0.09215087,-0.952628,0.01902492,-0.001823785,3.239868,2.5334410000000003,0.0264187420971948
0.02199619,91.91943,16.23341,2.352588,1.120894,1.586181,0.02548763,0.09857418,0.09005742,0.09026968,-0.9527521,0.01909633,-0.001836447,3.221934,2.5298315,0.0255054035816515
0.02284177,95.45303,16.32197,2.348737,1.122112,1.581809,0.02463719,0.09650228,0.08827598,0.08847763,-0.9528143,0.01916112,-0.001848412,3.204364,2.526329,0.0246530943233294
0.02369872,99.03412,16.40877,2.345312,1.1231,1.577437,0.02383945,0.0945216,0.08657329,0.08676678,-0.9528214,0.01922259,-0.001859587,3.187132,2.5229245,0.0238531017068104
0.02456687,102.662,16.49389,2.342252,1.123889,1.573079,0.02308909,0.09262738,0.0849436,0.08513122,-0.9527801,0.01928327,-0.001870117,3.170266,2.51961,0.0231013852723345
0.02544605,106.336,16.57742,2.339505,1.124507,1.568744,0.02238142,0.09081569,0.0833818,0.08356533,-0.9526937,0.01934541,-0.001880051,3.153801,2.516378,0.0223931174789679
0.02633611,110.0554,16.65942,2.337026,1.124978,1.564439,0.0217121,0.08908202,0.08188334,0.08206317,-0.9525686,0.01941141,-0.001889716,3.137743,2.5132215,0.021723107811209
0.02723689,113.8197,16.73996,2.334776,1.125321,1.560176,0.02107783,0.08742093,0.08044399,0.08062079,-0.9524104,0.01948297,-0.001899333,3.122083,2.5101365,0.0210885487804595
0.02814824,117.6281,16.81909,2.332721,1.125555,1.55596,0.02047555,0.08582733,0.07905998,0.07923456,-0.9522188,0.01956006,-0.001909473,3.106803,2.507118,0.0204840165736475
