y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,3.408145894885496e-38,0.000000000000000e+00,2.404986598572753e-39,0.000000000000000e+00,1.704072947442748e-38,3.658940662487135e-04,3.784312544277663e-73,4.359709379257753e-03,1.158036937133735e-40,1.416926905332075e-04,1.166287518342894e-40,3.395891939730328e-02,2.864805614678536e-21,0.000000000000000e+00,8.421822502169627e-22
2.059765673623204e-05,4.514042136904974e-03,8.484512804801927e-06,2.377504185800782e-03,5.866632749023992e-07,2.996326845943724e-16,2.769323724005334e-04,2.996326845943724e-16,5.583858676371398e-09,3.444936152968215e-13,1.070468797103453e-05,1.624269445335875e-14,1.384661862284139e-04,3.650448207755621e-04,1.116956015485561e-10,4.359693247578619e-03,4.446954964320668e-08,1.417325923004892e-04,1.590946232089224e-09,3.395805177688092e-02,3.025660400390068e-06,1.043809296725892e-09,7.889915228613726e-07
1.029823439926414e-04,2.256890898285087e-02,4.242011229095238e-05,2.377503628198299e-03,2.933147535337008e-06,1.860281217245394e-13,1.382791315590496e-03,1.860281217245394e-13,1.389202203674433e-07,4.316768992519575e-11,5.345771067902087e-05,2.035090499347595e-12,6.913956612843551e-04,3.616705260766095e-04,2.792079967069769e-09,4.359636438374209e-03,2.230562044743843e-07,1.418919077123518e-04,7.908213679132973e-09,3.395461256417856e-02,1.512622675670756e-05,2.595293258722546e-08,3.944732098014449e-06
2.883256182004690e-04,6.318747838032863e-02,1.187659237751445e-04,2.377498800041046e-03,8.212108823279520e-06,1.126601417427818e-11,3.860194290945283e-03,1.126601417427818e-11,1.077405653878366e-06,9.529031773003794e-10,1.492740790554288e-04,4.490540694967152e-11,1.930097220650394e-03,3.541949044249927e-04,2.188676724727586e-08,4.359554790962698e-03,6.287472963539578e-07,1.422491639089703e-04,2.184631704128985e-08,3.394705640832495e-02,4.233828790791950e-05,2.010012503953248e-07,1.104361596158581e-05
6.177693459122890e-04,1.353861215402712e-01,2.544678030238359e-04,2.377472362042475e-03,1.759539309571284e-05,2.313840394427238e-10,8.227844888432064e-03,2.313840394427238e-10,4.853654238523170e-06,9.467672184289035e-09,3.183332733250458e-04,4.456122245269716e-10,4.113923160015789e-03,3.413406098989576e-04,1.004886953587735e-07,4.359499694257652e-03,1.361273441897538e-06,1.428765191094423e-04,4.566307001993751e-08,3.393424285787269e-02,9.064650653217849e-05,9.032314505443748e-07,2.365514011695958e-05
1.132413839837088e-03,2.481721030163199e-01,4.664480560375642e-04,2.377360905148206e-03,3.225375656278022e-05,2.509242922403766e-09,1.495859728058027e-02,2.509242922403766e-09,1.583891715058401e-05,5.919613507442617e-08,5.792209223873778e-04,2.777009603977616e-09,7.479302833050123e-03,3.223736562810232e-04,3.377588644862171e-07,4.359431573595036e-03,2.526549570168320e-06,1.438314390166836e-04,8.038811674168151e-08,3.391580121939506e-02,1.658778157839761e-04,2.935535561296842e-06,4.332405017185459e-05
1.873306006858533e-03,4.105409833052455e-01,7.715768003524028e-04,2.376971597131398e-03,5.335639521910165e-05,1.773606165875548e-08,2.444953250773283e-02,1.773606165875548e-08,4.157981964621775e-05,2.734030806430454e-07,9.479106826172088e-04,1.273239375283756e-08,1.222478393191880e-02,2.972503008729256e-04,9.248685859506492e-07,4.358828595372632e-03,4.222232656203329e-06,1.451497828028818e-04,1.332676230583106e-07,3.389261191306502e-02,2.734809686905933e-04,7.658966531163088e-06,7.152803246077406e-05
2.881427511453483e-03,6.314740248223802e-01,1.186582252575693e-03,2.375802338286597e-03,8.206917767459283e-05,9.182375563450465e-08,3.698259153435027e-02,9.182375563450465e-08,9.305470010942918e-05,1.019152308569599e-06,1.436456102599278e-03,4.681773348617008e-08,1.849135430263452e-02,2.633903976000423e-04,2.190176629457119e-06,4.355808841611672e-03,6.494230896591157e-06,1.468294851315974e-04,1.909168014867570e-07,3.386740936613509e-02,4.181531966190468e-04,1.699066416330910e-05,1.095981821789355e-04
4.177085301188321e-03,9.154215598633070e-01,1.719330906046996e-03,2.372778834129412e-03,1.189616814210268e-04,3.672125831847494e-07,5.243345326726679e-02,3.672125831847494e-07,1.823436753449011e-04,3.183516553647209e-06,2.041894930421591e-03,1.431306594430469e-07,2.621688516434320e-02,2.292603786169767e-04,4.606449561030801e-06,4.345823957026040e-03,9.210031767791458e-06,1.411780711506498e-04,2.545548354747437e-07,3.384576252420985e-02,6.004966474404010e-04,3.290661067342382e-05,1.578459669353809e-04
5.759905750861605e-03,1.262301707274051e+00,2.368351304761497e-03,2.366035816763118e-03,1.639910486087924e-04,1.178107068968637e-06,7.028120955042613e-02,1.178107068968637e-06,3.120638380214820e-04,8.526314033592961e-06,2.746644052510675e-03,3.724427529402781e-07,3.514095118625080e-02,1.945041744502296e-04,8.754558881058543e-06,4.320747859301853e-03,1.198175484987349e-05,1.439324948581839e-04,3.432908463914553e-07,3.383571859053707e-02,8.170510873511900e-04,5.673722943104257e-05,2.155506648058439e-04
