y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.117848457963202e-35,0.000000000000000e+00,2.266829471235437e-39,0.000000000000000e+00,5.589242289816009e-36,8.322523861450098e-02,7.842634213958829e-71,1.929025978714706e-01,-3.435187047567247e-41,1.959037683155972e-05,1.240668842000758e-41,7.295974642744053e+00,4.298671611580836e-20,0.000000000000000e+00,4.189612581206921e-22
2.059765673623204e-05,4.520751555384802e-03,4.520751555331789e-03,9.999999999142790e-01,1.197326112209808e-07,-7.403340326338145e-14,3.941949734025412e-06,7.403340326338145e-14,1.698965619540287e-06,-1.013506014778504e-10,-4.003981974643220e-10,-7.033199789495970e-15,2.820457713799551e-06,8.303700581861378e-02,2.006214389369718e-08,1.928598858927021e-01,-9.919677990045524e-06,1.959288636969822e-05,-6.861085416914249e-10,7.295741068646557e+00,6.628142138834919e-04,-2.641155790844709e-07,2.012179718662368e-07
1.029823439926414e-04,2.260245414047382e-02,2.260245407012830e-02,9.999999874698342e-01,5.986284200934180e-07,-4.600037051710301e-11,9.849405364452971e-05,4.600037051710301e-11,4.227744592772591e-05,-1.269085195617325e-08,-1.001131043294238e-08,-8.799754776689723e-13,7.038577278631306e-05,8.228857886416294e-02,5.014975277697414e-07,1.926917269255471e-01,-4.971619766253681e-05,1.960240844185053e-05,-3.391796640460695e-09,7.294814980480904e+00,3.313236795859095e-03,-6.569502353551855e-06,1.006070070879653e-06
2.883256182004690e-04,6.328139669617082e-02,6.328139230078351e-02,9.999997213231153e-01,1.676012209485048e-06,-2.790771844731325e-09,7.713089806315964e-04,2.790771844731325e-09,3.280391566067215e-04,-2.796971577481122e-07,-7.851766113687310e-08,-1.934786441798517e-11,5.496754640050813e-04,8.062808027788597e-02,3.931155985090080e-06,1.923273925810720e-01,-1.399008916248847e-04,1.962152191311395e-05,-9.263154505289798e-09,7.292779083070261e+00,9.269946675077169e-03,-5.092527025392488e-05,2.816380172650155e-06
6.177693459122890e-04,1.355873518607302e-01,1.355872583557896e-01,9.999972322019862e-01,3.591016465259179e-06,-5.749781223627128e-08,3.535010264509403e-03,5.749781223627128e-08,1.478967256655156e-03,-2.771352666866210e-06,-3.607602756280038e-07,-1.906109298367115e-10,2.507017509488398e-03,7.776612641667359e-02,1.804873227331389e-05,1.917306249516671e-01,-3.020932855194579e-04,1.964380503003778e-05,-1.902366464933845e-08,7.289322436514723e+00,1.982383155589671e-02,-2.292032926823976e-04,6.029391994367122e-06
1.132413839837088e-03,2.485409720794912e-01,2.485399058637880e-01,9.999827538810874e-01,6.582419474481799e-06,-6.265772245774422e-07,1.184919486320169e-02,6.265772245774422e-07,4.831873549253103e-03,-1.725792994520476e-05,-1.213265891154360e-06,-1.173211689612665e-09,8.340847494839687e-03,7.353027004539524e-02,6.066102244375942e-05,1.909221078713826e-01,-5.588882409197755e-04,1.964427721597750e-05,-3.278955018808353e-08,7.284336445275193e+00,3.617771622877535e-02,-7.467470711237632e-04,1.102592698694324e-05
1.873306006858533e-03,4.111511883446703e-01,4.111431029305692e-01,9.999207429717074e-01,1.088819427810118e-05,-4.459720800207398e-06,3.232261768327744e-02,4.459720800207398e-06,1.270385360136233e-02,-7.929038512024296e-05,-3.320973113858995e-06,-5.277959896463453e-09,2.251546550271999e-02,6.789852722830947e-02,1.660814507514577e-04,1.899738943347708e-01,-9.313292283464282e-04,1.957535169461292e-05,-5.023382154853529e-08,7.278041579606059e+00,5.931344258570538e-02,-1.955098285117050e-03,1.814558153230041e-05
2.881427511453483e-03,6.324126123151812e-01,6.323666511751659e-01,9.997062796824193e-01,1.674415081656607e-05,-2.330669301823248e-05,7.617344367794299e-02,2.330669301823248e-05,2.848417583310277e-02,-2.937992513659617e-04,-7.844821545585680e-06,-1.890228621221895e-08,5.234046310203199e-02,6.101059613613764e-02,3.931853316883855e-04,1.889560599446642e-01,-1.431272586368171e-03,1.936715196288007e-05,-7.155724688811059e-08,7.271145781447740e+00,8.974409749304846e-02,-4.357384692592624e-03,2.764555212697284e-05
4.177085301188321e-03,9.167821910103595e-01,9.165756954214408e-01,9.990876757818359e-01,2.426085090884609e-05,-9.432575200853135e-05,1.593346836353935e-01,9.432575200853135e-05,5.593233645346202e-02,-9.124901704620005e-04,-1.640332746139913e-05,-5.596559946691501e-08,1.076806729204321e-01,5.328352154319956e-02,8.265622968121202e-04,1.878322644969694e-01,-2.036764715031781e-03,1.893769139446192e-05,-9.912977276395862e-08,7.265106577277533e+00,1.265848204638229e-01,-8.488193760598114e-03,3.947347719373409e-05
5.759905750861605e-03,1.264177921572687e+00,1.263418703125286e+00,9.975662603670676e-01,3.341722543480550e-05,-3.070057516818597e-04,3.012089140151130e-01,3.070057516818597e-04,9.805247674593746e-02,-2.434057401762234e-03,-3.086543224694061e-05,-1.410284499993656e-07,1.997841982563661e-01,4.530726465585527e-02,1.569808133821678e-03,1.862780884725077e-01,-2.677214836256984e-03,1.821633783627559e-05,-1.395566434072005e-07,7.262034801999371e+00,1.674717877944348e-01,-1.473492454710815e-02,5.331318076506221e-05
