u'u',v'v',w'w',u'w',u'v',v'w',k
1.421338766813278198e-01,-4.523721709847450256e-02,2.825700938701629639e-01,-1.036332361400127411e-02,1.021718420088291168e-02,6.080535240471363068e-03,1.897333860397338867e-01
1.350460201501846313e-01,-4.341175407171249390e-02,2.831064760684967041e-01,-1.048368774354457855e-02,9.573401883244514465e-03,6.074843462556600571e-03,1.873703747987747192e-01
1.320742219686508179e-01,-4.174937680363655090e-02,2.839718461036682129e-01,-1.055383123457431793e-02,8.825683966279029846e-03,6.064880639314651489e-03,1.871483474969863892e-01
1.331111043691635132e-01,-4.024531692266464233e-02,2.851595580577850342e-01,-1.057501323521137238e-02,7.976958528161048889e-03,6.050603464245796204e-03,1.890126764774322510e-01
1.380620151758193970e-01,-3.889545425772666931e-02,2.866617143154144287e-01,-1.054840721189975739e-02,7.029371336102485657e-03,6.032019853591918945e-03,1.929141283035278320e-01
1.468562632799148560e-01,-3.769671916961669922e-02,2.884722948074340820e-01,-1.047500409185886383e-02,5.984904244542121887e-03,6.009040400385856628e-03,1.988159120082855225e-01
1.594303846359252930e-01,-3.664692491292953491e-02,2.905850410461425781e-01,-1.035567559301853180e-02,4.844583570957183838e-03,5.981794558465480804e-03,2.066842466592788696e-01
1.757434159517288208e-01,-3.574459999799728394e-02,2.929947078227996826e-01,-1.019102707505226135e-02,3.609361127018928528e-03,5.950252525508403778e-03,2.164967656135559082e-01
1.957632303237915039e-01,-3.498841449618339539e-02,2.956967353820800781e-01,-9.981831535696983337e-03,2.279231324791908264e-03,5.914555862545967102e-03,2.282357811927795410e-01
2.194650769233703613e-01,-3.437864407896995544e-02,2.986852526664733887e-01,-9.728724136948585510e-03,8.544083684682846069e-04,5.874875932931900024e-03,2.418858408927917480e-01
2.468412369489669800e-01,-3.391603007912635803e-02,3.019554316997528076e-01,-9.432045742869377136e-03,-6.651692092418670654e-04,5.831417161971330643e-03,2.574403285980224609e-01
2.778831422328948975e-01,-3.360082954168319702e-02,3.055028617382049561e-01,-9.092394262552261353e-03,-2.280756831169128418e-03,5.784363951534032822e-03,2.748925685882568359e-01
3.126055896282196045e-01,-3.343424946069717407e-02,3.093235492706298828e-01,-8.710265159606933594e-03,-3.993310034275054932e-03,5.734008736908435822e-03,2.942474484443664551e-01
3.510152101516723633e-01,-3.341870382428169250e-02,3.134117424488067627e-01,-8.286116644740104675e-03,-5.803821608424186707e-03,5.680650472640991211e-03,3.155041337013244629e-01
3.931265175342559814e-01,-3.355656191706657410e-02,3.177617788314819336e-01,-7.820604369044303894e-03,-7.713461294770240784e-03,5.624649580568075180e-03,3.386658728122711182e-01
4.389629065990447998e-01,-3.384943678975105286e-02,3.223692178726196289e-01,-7.314269430935382843e-03,-9.724382311105728149e-03,5.566386971622705460e-03,3.637413382530212402e-01
4.885545372962951660e-01,-3.430126234889030457e-02,3.272273838520050049e-01,-6.767836399376392365e-03,-1.183783635497093201e-02,5.506283137947320938e-03,3.907403349876403809e-01
5.419282317161560059e-01,-3.491417691111564636e-02,3.323313295841217041e-01,-6.182239390909671783e-03,-1.405626907944679260e-02,5.444805137813091278e-03,4.196726679801940918e-01
5.991076231002807617e-01,-3.569202870130538940e-02,3.376722931861877441e-01,-5.558470729738473892e-03,-1.638089865446090698e-02,5.382508970797061920e-03,4.505439400672912598e-01
6.601200103759765625e-01,-3.663706779479980469e-02,3.432439565658569336e-01,-4.897957667708396912e-03,-1.881391555070877075e-02,5.319861695170402527e-03,4.833634495735168457e-01
7.249940633773803711e-01,-3.775352239608764648e-02,3.490371406078338623e-01,-4.202052485197782516e-03,-2.135714888572692871e-02,5.257492884993553162e-03,5.181388258934020996e-01
7.937545776367187500e-01,-3.904355317354202271e-02,3.550441563129425049e-01,-3.472676267847418785e-03,-2.401260100305080414e-02,5.196092184633016586e-03,5.548775792121887207e-01
8.664247989654541016e-01,-4.051051661372184753e-02,3.612546622753143311e-01,-2.711867447942495346e-03,-2.678184211254119873e-02,5.136045161634683609e-03,5.935844779014587402e-01
9.430165290832519531e-01,-4.215668514370918274e-02,3.676587045192718506e-01,-1.922084018588066101e-03,-2.966642752289772034e-02,5.078157410025596619e-03,6.342592835426330566e-01
1.023527979850769043e+00,-4.398313909769058228e-02,3.742451071739196777e-01,-1.106392126530408859e-03,-3.266777843236923218e-02,5.023084115236997604e-03,6.768949627876281738e-01
1.107959151268005371e+00,-4.599056020379066467e-02,3.810027241706848145e-01,-2.680605393834412098e-04,-3.578732162714004517e-02,4.971226677298545837e-03,7.214856147766113281e-01
1.196301698684692383e+00,-4.817938432097434998e-02,3.879199922084808350e-01,5.891965702176094055e-04,-3.902588412165641785e-02,4.923282656818628311e-03,7.680211663246154785e-01
1.288530945777893066e+00,-5.054763704538345337e-02,3.949857354164123535e-01,1.461035804823040962e-03,-4.238459467887878418e-02,4.879709333181381226e-03,8.164845705032348633e-01
