u'u',v'v',w'w',u'w',u'v',v'w',k
2.346253246068954468e-01,5.244849622249603271e-02,3.902367129921913147e-02,-3.683086857199668884e-02,2.751038782298564911e-02,4.339132923632860184e-03,1.630487442016601562e-01
2.321034818887710571e-01,5.243519693613052368e-02,3.850162029266357422e-02,-3.682702407240867615e-02,2.711378969252109528e-02,4.334430210292339325e-03,1.615201532840728760e-01
2.220638394355773926e-01,5.238286033272743225e-02,3.642409294843673706e-02,-3.681165352463722229e-02,2.552887238562107086e-02,4.315651953220367432e-03,1.554353982210159302e-01
1.998290568590164185e-01,5.227106809616088867e-02,3.182786330580711365e-02,-3.677741065621376038e-02,2.197803370654582977e-02,4.273473285138607025e-03,1.419639885425567627e-01
1.615193039178848267e-01,5.209112912416458130e-02,2.392498776316642761e-02,-3.671718016266822815e-02,1.571349985897541046e-02,4.198760725557804108e-03,1.187677159905433655e-01
1.047461479902267456e-01,5.186222121119499207e-02,1.226020976901054382e-02,-3.662502393126487732e-02,6.055224686861038208e-03,4.083232022821903229e-03,8.443429321050643921e-02
2.954211086034774780e-02,5.165138095617294312e-02,-3.079608315601944923e-03,-3.649707511067390442e-02,-7.559548132121562958e-03,3.920454066246747971e-03,3.905694186687469482e-02
-6.055350601673126221e-02,5.161004140973091125e-02,-2.120822668075561523e-02,-3.633183613419532776e-02,-2.549640461802482605e-02,3.708083648234605789e-03,-1.507584564387798309e-02
-1.558492034673690796e-01,5.201950296759605408e-02,-3.986129909753799438e-02,-3.613510355353355408e-02,-4.748327285051345825e-02,3.455683821812272072e-03,-7.184550166130065918e-02
-2.412035614252090454e-01,5.331142246723175049e-02,-5.552003160119056702e-02,-3.591837361454963684e-02,-7.262466102838516235e-02,3.186250105500221252e-03,-1.217060834169387817e-01
-2.979507744312286377e-01,5.609790235757827759e-02,-6.376454979181289673e-02,-3.569256141781806946e-02,-9.980302304029464722e-02,2.932594856247305870e-03,-1.528087109327316284e-01
-3.034665584564208984e-01,6.117084622383117676e-02,-5.917902663350105286e-02,-3.546125069260597229e-02,-1.277666687965393066e-01,2.735675778239965439e-03,-1.507373750209808350e-01
-2.312064915895462036e-01,6.940282881259918213e-02,-3.544577956199645996e-02,-3.520715609192848206e-02,-1.553070247173309326e-01,2.637160941958427429e-03,-9.862472116947174072e-02
-5.297671258449554443e-02,8.138646185398101807e-02,1.386104151606559753e-02,-3.486992791295051575e-02,-1.815401315689086914e-01,2.662497339770197868e-03,2.113539539277553558e-02
2.545797228813171387e-01,9.671713411808013916e-02,9.329165518283843994e-02,-3.432022407650947571e-02,-2.062118351459503174e-01,2.792490413412451744e-03,2.222942411899566650e-01
