u'u',v'v',w'w',u'w',u'v',v'w',k
-4.356689751148223877e-03,4.107722640037536621e-02,4.041683301329612732e-02,7.120758295059204102e-03,5.389394238591194153e-03,-3.594994544982910156e-03,3.856868296861648560e-02
-4.742532968521118164e-03,4.109424352645874023e-02,4.046374931931495667e-02,7.112115621566772461e-03,5.377095192670822144e-03,-3.592863678932189941e-03,3.840772807598114014e-02
-6.120920181274414062e-03,4.116257652640342712e-02,4.067405685782432556e-02,7.080487906932830811e-03,5.321478471159934998e-03,-3.584232181310653687e-03,3.785785660147666931e-02
-8.223086595535278320e-03,4.131736233830451965e-02,4.128560051321983337e-02,7.026575505733489990e-03,5.157606676220893860e-03,-3.562197089195251465e-03,3.718993812799453735e-02
-8.581459522247314453e-03,4.159643501043319702e-02,4.284004494547843933e-02,6.988935172557830811e-03,4.735138267278671265e-03,-3.514006733894348145e-03,3.792750835418701172e-02
-6.333440542221069336e-04,4.204547405242919922e-02,4.644939675927162170e-02,7.076978683471679688e-03,3.741487860679626465e-03,-3.415267914533615112e-03,4.393076151609420776e-02
2.863949537277221680e-02,4.272434487938880920e-02,5.412125959992408752e-02,7.511079311370849609e-03,1.607071608304977417e-03,-3.222413361072540283e-03,6.274254620075225830e-02
1.012891680002212524e-01,4.371230676770210266e-02,6.909644603729248047e-02,8.665300905704498291e-03,-2.596963196992874146e-03,-2.865452319383621216e-03,1.070489585399627686e-01
2.481168359518051147e-01,4.505747184157371521e-02,9.559883177280426025e-02,1.105847954750061035e-02,-1.009077019989490509e-02,-2.260871231555938721e-03,1.943865716457366943e-01
5.045051574707031250e-01,4.668299108743667603e-02,1.380085647106170654e-01,1.526114344596862793e-02,-2.214103005826473236e-02,-1.352816820144653320e-03,3.445983529090881348e-01
9.061173200607299805e-01,4.826749861240386963e-02,2.000236809253692627e-01,2.175629884004592896e-02,-3.979855775833129883e-02,-1.866258680820465088e-04,5.772042274475097656e-01
1.480178952217102051e+00,4.920728504657745361e-02,2.833974361419677734e-01,3.063096851110458374e-02,-6.354805827140808105e-02,9.729862213134765625e-04,9.063918590545654297e-01
2.234627723693847656e+00,4.899038001894950867e-02,3.874595761299133301e-01,4.110564291477203369e-02,-9.331808984279632568e-02,1.559406518936157227e-03,1.335538864135742188e+00
3.150753736495971680e+00,4.820157214999198914e-02,5.106623768806457520e-01,5.112919956445693970e-02,-1.293374150991439819e-01,8.438043296337127686e-04,1.854808807373046875e+00
4.183687686920166016e+00,4.976069554686546326e-02,6.535277962684631348e-01,5.748822540044784546e-02,-1.735923737287521362e-01,-1.553062349557876587e-03,2.443488121032714844e+00
5.269582748413085938e+00,5.923182517290115356e-02,8.198345899581909180e-01,5.676320940256118774e-02,-2.303442656993865967e-01,-5.096424371004104614e-03,3.074324607849121094e+00
6.332361221313476562e+00,8.285334706306457520e-02,1.012376070022583008e+00,4.697152227163314819e-02,-3.034904897212982178e-01,-8.579269051551818848e-03,3.713795185089111328e+00
7.288682937622070312e+00,1.233061999082565308e-01,1.224083185195922852e+00,2.932401001453399658e-02,-3.908680379390716553e-01,-1.122042909264564514e-02,4.318036079406738281e+00
8.071129798889160156e+00,1.771125495433807373e-01,1.435924053192138672e+00,8.453950285911560059e-03,-4.821852147579193115e-01,-1.300994679331779480e-02,4.842082977294921875e+00
