u'u',v'v',w'w',u'w',u'v',v'w',k
-2.352181375026702881e-01,1.029102355241775513e-01,2.166469022631645203e-02,1.974704675376415253e-02,1.535708606243133545e-01,-5.161605775356292725e-03,-5.532160401344299316e-02
-2.483410239219665527e-01,1.023320108652114868e-01,1.857139170169830322e-02,1.968655735254287720e-02,1.533040702342987061e-01,-5.202998407185077667e-03,-6.371881067752838135e-02
-2.591285407543182373e-01,1.017151474952697754e-01,1.587099581956863403e-02,1.963780634105205536e-02,1.530670076608657837e-01,-5.235691089183092117e-03,-7.077120244503021240e-02
-2.675557434558868408e-01,1.010730713605880737e-01,1.358043402433395386e-02,1.960049010813236237e-02,1.528514772653579712e-01,-5.260024219751358032e-03,-7.645112276077270508e-02
-2.735997438430786133e-01,1.004176735877990723e-01,1.171454414725303650e-02,1.957433670759201050e-02,1.526496708393096924e-01,-5.276285577565431595e-03,-8.073376119136810303e-02
-2.772315740585327148e-01,9.976054728031158447e-02,1.028921082615852356e-02,1.955914311110973358e-02,1.524533480405807495e-01,-5.284616257995367050e-03,-8.359090983867645264e-02
-2.784219384193420410e-01,9.911280870437622070e-02,9.319789707660675049e-03,1.955467090010643005e-02,1.522549688816070557e-01,-5.285205319523811340e-03,-8.499467372894287109e-02
-2.771345376968383789e-01,9.848521649837493896e-02,8.822612464427947998e-03,1.956072635948657990e-02,1.520466506481170654e-01,-5.278031341731548309e-03,-8.491335809230804443e-02
-2.733348608016967773e-01,9.788769483566284180e-02,8.812922984361648560e-03,1.957721076905727386e-02,1.518204808235168457e-01,-5.263092927634716034e-03,-8.331712335348129272e-02
-2.669838368892669678e-01,9.733010083436965942e-02,9.306576102972030640e-03,1.960388198494911194e-02,1.515685021877288818e-01,-5.240292288362979889e-03,-8.017358183860778809e-02
-2.580435574054718018e-01,9.682171046733856201e-02,1.031874865293502808e-02,1.964063942432403564e-02,1.512829065322875977e-01,-5.209460388869047165e-03,-7.545155286788940430e-02
-2.464751005172729492e-01,9.637122601270675659e-02,1.186434552073478699e-02,1.968733966350555420e-02,1.509562134742736816e-01,-5.170404445379972458e-03,-6.911975890398025513e-02
-2.322371900081634521e-01,9.598750621080398560e-02,1.395867764949798584e-02,1.974382810294628143e-02,1.505803465843200684e-01,-5.122843664139509201e-03,-6.114550679922103882e-02
-2.152907848358154297e-01,9.567867219448089600e-02,1.661605760455131531e-02,1.981001347303390503e-02,1.501476466655731201e-01,-5.066429264843463898e-03,-5.149802565574645996e-02
-1.955996155738830566e-01,9.545250236988067627e-02,1.984991878271102905e-02,1.988573931157588959e-02,1.496503800153732300e-01,-5.000793375074863434e-03,-4.014859721064567566e-02
-1.731300354003906250e-01,9.531613439321517944e-02,2.367264032363891602e-02,1.997089199721813202e-02,1.490811407566070557e-01,-4.925514571368694305e-03,-2.707063034176826477e-02
-1.478448212146759033e-01,9.527708590030670166e-02,2.809755131602287292e-02,2.006533741950988770e-02,1.484321057796478271e-01,-4.840123001486063004e-03,-1.223509199917316437e-02
-1.197170764207839966e-01,9.534142911434173584e-02,3.313482925295829773e-02,2.016891725361347198e-02,1.476965546607971191e-01,-4.744102712720632553e-03,4.379590973258018494e-03
-8.871828019618988037e-02,9.551590681076049805e-02,3.879545629024505615e-02,2.028151415288448334e-02,1.468665003776550293e-01,-4.636884201318025589e-03,2.279654145240783691e-02
-5.483371019363403320e-02,9.580588340759277344e-02,4.508674144744873047e-02,2.040293067693710327e-02,1.459353715181350708e-01,-4.517880734056234360e-03,4.302945733070373535e-02
-1.804699003696441650e-02,9.621673077344894409e-02,5.201628059148788452e-02,2.053299359977245331e-02,1.448962688446044922e-01,-4.386571235954761505e-03,6.509301066398620605e-02
2.165232598781585693e-02,9.675291925668716431e-02,5.958963185548782349e-02,2.067155763506889343e-02,1.437425017356872559e-01,-4.242266993969678879e-03,8.899743854999542236e-02
6.426842510700225830e-02,9.741878509521484375e-02,6.781127303838729858e-02,2.081839554011821747e-02,1.424680054187774658e-01,-4.084386397153139114e-03,1.147492378950119019e-01
