u'u',v'v',w'w',u'w',u'v',v'w',k
-1.922788918018341064e-01,1.167479902505874634e-03,-7.848467677831649780e-02,-4.485357087105512619e-03,6.055244430899620056e-02,8.772577857598662376e-04,-1.347980499267578125e-01
-1.914114952087402344e-01,1.308051869273185730e-03,-7.819391041994094849e-02,-4.482387099415063858e-03,6.042305007576942444e-02,8.772910805419087410e-04,-1.341486722230911255e-01
-1.879354417324066162e-01,1.869712956249713898e-03,-7.702990621328353882e-02,-4.470415413379669189e-03,5.990583822131156921e-02,8.774318266659975052e-04,-1.315478235483169556e-01
-1.800575852394104004e-01,3.132117912173271179e-03,-7.440025359392166138e-02,-4.443214740604162216e-03,5.874865129590034485e-02,8.777697803452610970e-04,-1.256628632545471191e-01
-1.658663749694824219e-01,5.370980128645896912e-03,-6.969098001718521118e-02,-4.393897484987974167e-03,5.671169981360435486e-02,8.784356759861111641e-04,-1.150931864976882935e-01
-1.432074904441833496e-01,8.856654167175292969e-03,-6.224227696657180786e-02,-4.314374644309282303e-03,5.358032509684562683e-02,8.796281181275844574e-04,-9.829655289649963379e-02
-1.095188185572624207e-01,1.385339535772800446e-02,-5.131401866674423218e-02,-4.194504115730524063e-03,4.917754605412483215e-02,8.816808694973587990e-04,-7.348972558975219727e-02
-6.159134954214096069e-02,2.062383480370044708e-02,-3.603175282478332520e-02,-4.021096974611282349e-03,4.337547346949577332e-02,8.850838057696819305e-04,-3.849963471293449402e-02
3.691583871841430664e-03,2.930092252790927887e-02,-1.564041525125503540e-02,-3.780341707170009613e-03,3.621623292565345764e-02,8.904410060495138168e-04,8.676044642925262451e-03
8.939145505428314209e-02,3.990694135427474976e-02,1.052028313279151917e-02,-3.458191175013780594e-03,2.788323909044265747e-02,8.984140586107969284e-04,6.990933418273925781e-02
1.996294856071472168e-01,5.250455439090728760e-02,4.336606711149215698e-02,-3.036529291421175003e-03,1.855961978435516357e-02,9.096992434933781624e-04,1.477500498294830322e-01
3.398331701755523682e-01,6.720414757728576660e-02,8.412396907806396484e-02,-2.493241801857948303e-03,8.403199724853038788e-03,9.249629219993948936e-04,2.455806434154510498e-01
5.169667601585388184e-01,8.415441215038299561e-02,1.343684494495391846e-01,-1.803226419724524021e-03,-2.488937228918075562e-03,9.446365293115377426e-04,3.677448034286499023e-01
7.396243214607238770e-01,1.035081520676612854e-01,1.960048377513885498e-01,-9.422645671293139458e-04,-1.413572020828723907e-02,9.685769909992814064e-04,5.195686817169189453e-01
1.017723560333251953e+00,1.253497153520584106e-01,2.711310088634490967e-01,1.030585262924432755e-04,-2.675735391676425934e-02,9.953925618901848793e-04,7.071021795272827148e-01
