dxdx,dxdy,dxdz,dydx,dydy,dydz,dzdx,dzdy,dzdz,xvel,yvel,zvel,RANS_k,t_visc,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',DNS_k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p',y
2.979880000000022e-12,11.939299999999996,-2.9699700000000223e-12,-6.5510699999999726e-24,-1.9096359999999887e-11,6.516279999999973e-24,2.605350000000019e-32,1.0468639999999996e-19,1.0468639999999996e-19,0.002802000000001248,-2.4687200000000662e-14,1.520000000001093e-23,-0.0004157199999999938,-9.21463999999988e-06,8.21093456504149e-17,0.0,0.004061627614809999,0.0,0.0,6.455113275470116e-37,0.0,1.1627657452948288e-36,0.0,-9.529092259082115e-40,0.0,9.041385364209199e-37,0.00016546700083851142,1.2094724413198378e-71,0.000556625166236198,-9.429375670924021e-42,8.54220443983681e-08,3.462248836203914e-41,0.009793213309494751,-2.6304778697866638e-21,0.0,-8.173582153853256e-23,1.110223024625157e-16
2.991410505704683e-12,11.936501059807888,-2.981475989006924e-12,-6.536433650162734e-24,-1.903664284496796e-11,6.50181419852269e-24,2.6158633892412326e-32,1.0466798338907314e-19,1.0466798338907314e-19,0.0034529272298743363,-2.503748840388604e-14,2.1001256186944085e-23,-0.0004124421887445627,-9.15355145331752e-06,4.283221422645019e-05,0.000672059768620056,0.004061392382651988,8.654749496248833e-08,-4.029721114863527e-15,6.189358552887512e-08,4.029721114863525e-15,1.8355037269199736e-08,-3.6086780247480225e-12,-9.56054373746124e-12,2.5384622580998674e-15,4.012431341389799e-08,0.00016463345419816922,3.3698147833261744e-10,0.0005564771276027537,-6.491262366755769e-08,8.651497215422189e-08,4.524769912183898e-11,0.009792236187594132,2.2713534208997552e-06,-2.578858044040645e-09,-5.85522598353433e-09,5.791461380333374e-05
3.0225068245811227e-12,11.928952671301852,-3.012506189443215e-12,-6.496961261580337e-24,-1.8875593213422666e-11,6.462801757345974e-24,2.644216673363432e-32,1.0461831611335495e-19,1.0461831611335495e-19,0.005208395829773546,-2.598217202704539e-14,3.66465120754059e-23,-0.00040360234540842276,-8.98880335154388e-06,0.0001583452910925174,0.0024843260967685084,0.004060757812339161,3.1995579979013136e-07,-7.467245820251016e-13,8.455936745913782e-07,7.46724582025101e-13,2.491574128967698e-07,-1.8263554555627336e-10,-1.3289208929804874e-10,1.2852307327943737e-13,5.473759171063649e-07,0.00016241413293802666,4.605521760225652e-09,0.0005560935551428504,-2.404902638052405e-07,8.943713019623759e-08,1.6353032660578867e-10,0.009789638206231696,8.388292369515943e-06,-3.498600313822247e-08,-2.1641444244796255e-08,0.0002141030191135096
3.0811987342337238e-12,11.914705668691047,-3.0710733056265e-12,-6.422460164725248e-24,-1.857162442336106e-11,6.3891687758355475e-24,2.697731315937909e-32,1.045245729513194e-19,1.045245729513194e-19,0.008521707764625283,-2.7765189691646502e-14,6.617572898194931e-23,-0.00038691782115687326,-8.67785398344803e-06,0.0003763673373049991,0.005904067133156857,0.0040595581320908404,7.605035842495797e-07,-2.3479468873176187e-11,4.774177596843875e-06,2.347946887317618e-11,1.3897766588044145e-06,-2.460298255339201e-09,-7.742763158334736e-10,1.7308053729456306e-12,3.0819888675585816e-06,0.00015833138017877572,2.602012780313117e-08,0.0005554265922350133,-5.736930991321419e-07,9.485676036457738e-08,3.7089080966169785e-10,0.009784882299965686,1.9895233507781624e-05,-1.949262423999301e-07,-5.142570302705393e-08,0.0005088966186284072
3.1755082129575596e-12,11.891812779406047,-3.1651822591483273e-12,-6.30274759019248e-24,-1.8083190185853606e-11,6.270851138119658e-24,2.7837216692108614e-32,1.0437394113855635e-19,1.0437394113855635e-19,0.013845724707929552,-3.063024328249468e-14,1.1362494421558205e-22,-0.0003601081842881385,-8.17820295849069e-06,0.0007266974875813748,0.01139697783434465,0.004057618634375033,1.4684496027176342e-06,-3.186046449550586e-10,1.7781456697751053e-05,3.1860464495505843e-10,5.076726079278679e-06,-1.779984469054998e-08,-3.024598555796938e-09,1.2480264745666408e-11,1.142925069083734e-05,0.00015203419520187116,9.701637393195e-08,0.0005544899550428522,-1.1128648493860675e-06,1.0332555953127604e-07,6.559922783080759e-10,0.009777643027321233,3.825597382300787e-05,-7.106762006370281e-07,-9.928720210102367e-08,0.000982587641223054
3.3134471724960724e-12,11.858329174454205,-3.3028279264525857e-12,-6.127653546643779e-24,-1.7368796347223076e-11,6.0977973574983514e-24,2.9094929068565883e-32,1.0415362398902805e-19,1.0415362398902805e-19,0.02163274004999606,-3.4820728869854786e-14,1.8302513037727318e-22,-0.00032089586474910606,-7.447403218659789e-06,0.0012390974825553754,0.019426253868241945,0.0040547330047892745,2.5041309237767825e-06,-2.600861173320267e-09,5.163211601116863e-05,2.6008611733202654e-09,1.4330622911305883e-05,-8.888472242450484e-08,-9.364246892161542e-09,6.16552787665601e-11,3.298266989182391e-05,0.00014335238217487486,2.8214215825364074e-07,0.0005533645258455785,-1.9056030121623486e-06,1.1524417968164854e-07,9.521311130979377e-10,0.009767944802943232,6.473334052880001e-05,-2.000147639191989e-06,-1.694002311757296e-07,0.001675417754204322
3.5030151936439763e-12,11.812313018084353,-3.491992879253071e-12,-5.887023695140188e-24,-1.638701261648794e-11,5.859971417283214e-24,3.082338959324936e-32,1.0385084451178132e-19,1.0385084451178132e-19,0.032334351066800646,-4.0579667918709006e-14,2.784010560909559e-22,-0.0002670067978422456,-6.443073035232048e-06,0.001943283257251586,0.03045129916098607,0.004050607286738927,3.928288605904109e-06,-1.500230456347964e-08,0.00012679607654106093,1.5002304563479637e-08,3.3861229173738295e-05,-3.4615542545907624e-07,-2.4888226335511974e-08,2.342562925536452e-10,8.033615400968136e-05,0.00013234076175898615,6.942956647728657e-07,0.0005521633322907065,-2.991375762685533e-06,1.308309980808794e-07,1.0930438307356556e-09,0.009756331292308915,0.00010015563587335708,-4.705781588863325e-06,-2.662414258517878e-07,0.002627566689856309
3.752197265335071e-12,11.751826016605582,-3.740645128428562e-12,-5.5707222190510164e-24,-1.509648427475714e-11,5.547355607265061e-24,3.3095404523662476e-32,1.0345284902209364e-19,1.0345284902209364e-19,0.04640133128557421,-4.8149638603883856e-14,4.0377014848786844e-22,-0.00019617106694186004,-5.122907987071502e-06,0.0028689165425054082,0.04492567193807438,0.0040447408827658255,5.80292067985639e-06,-6.697615074341655e-08,0.00027584739500261765,6.697615074341651e-08,7.006231898258109e-05,-1.1267947715879876e-06,-5.9308080741344216e-08,7.274031938185643e-10,0.0001729883450679711,0.00011929100420020725,1.5142850380410635e-06,0.0005509194989129381,-4.384916331445387e-06,1.500088386044133e-07,7.556311635056624e-10,0.009744063462475326,0.00014454889467412598,-9.679359402938249e-06,-3.94990120781869e-07,0.003879140889489485
4.0574310221495794e-12,11.677732906397003,-4.045229883026397e-12,-5.183271038564974e-24,-1.3515661018297444e-11,5.1644191564848346e-24,3.58784926007548e-32,1.0296532735695877e-19,1.0296532735695877e-19,0.06363257585333934,-5.742241884658138e-14,5.573401015789299e-22,-0.00010940135629337522,-3.5057814637605083e-06,0.004002764267476698,0.06262539641766858,0.004036538552033325,8.105941398614935e-06,-2.35399413582735e-07,0.0005357943607415374,2.3539941358273494e-07,0.000128104733368916,-3.098103827071355e-06,-1.2681797724091117e-07,1.8527717646960317e-09,0.00033206724676201806,0.00010521117640349235,2.949489292118061e-06,0.0005494287221556729,-5.98909557098948e-06,1.7131187164415085e-07,-5.258668008805635e-10,0.009733636690335647,0.00019485682852443944,-1.7566883407261094e-05,-5.559524832185976e-07,0.005412247554401284
4.418630196230299e-12,11.590054628307094,-4.4056610586161066e-12,-4.724779658552885e-24,-1.1644989633324024e-11,4.711270293820621e-24,3.917186724362085e-32,1.0238841730405075e-19,1.0238841730405075e-19,0.08402321472373774,-6.839538789184249e-14,7.39067512069163e-22,-6.722189517919798e-06,-1.592150511863801e-06,0.005344505974118316,0.08351926447884701,0.0040248032073062524,1.0845697496629444e-05,-6.852162886062056e-07,0.0009523945235356055,6.852162886062056e-07,0.00021235760296731915,-7.458109617043404e-06,-2.4837553819260806e-07,3.989141137139404e-09,0.0005827186713957655,9.088112739627522e-05,5.257293910095098e-06,0.0005469712773000804,-7.662871382533445e-06,1.9278956117300957e-07,-3.2996655329657665e-09,0.009727770708846416,0.00024774798837174115,-2.8864618502924668e-05,-7.522917217380404e-07,0.007226453384460596
