dxdx,dxdy,dxdz,dydx,dydy,dydz,dzdx,dzdy,dzdz,xvel,yvel,zvel,RANS_k,t_visc,y^+,U,W,P,u'u',v'v',w'w',u'v',u'w',v'w',DNS_k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p',y,dU/dy
-1.0545516347768268e-11,11.3012,1.0535347045913155e-11,-4.9045917542963365e-24,1.2493069044639787e-11,4.899592846518005e-24,-1.7083370503288684e-26,1.830760099019814e-14,1.830760099019814e-14,8.720264533038091e-09,2.798391474232256e-15,3.291090527520804e-23,-2.0259924881212166e-08,-1.2107477226598e-12,0.0,0.0,0.0,0.0,0.0,0.0,3.3555103467894737e-38,0.0,6.804473084837598e-42,0.0,1.6777551733947369e-38,0.0002498220105736138,2.3541688556759876e-73,0.0005790468810590751,-1.0311599572514261e-43,5.880556678995514e-08,3.724187394647639e-44,0.021900748915688186,1.2903571112305907e-22,0.0,1.2576202315378566e-24,0.0,12.024877188835916
-1.0519703044825164e-11,11.3012,1.0509804487845742e-11,-4.850289956366923e-24,1.2278382635778421e-11,4.845457091344386e-24,-1.7041558399146284e-26,1.8307606278183996e-14,1.8307606278183996e-14,0.00023278691512594596,2.8981567305358025e-15,3.77129229280422e-19,-1.8830237528375397e-08,-1.139442141819663e-12,1.3570201319593956e-05,0.00024768429243898467,6.559946223358463e-09,-2.2223034695682494e-16,1.1832778427898237e-08,2.2223034695682494e-16,5.099883329082418e-09,-3.042299602326406e-13,-1.2018984191071943e-12,-2.111196244586863e-17,8.4663309896055e-09,0.0002492569813071643,6.02216972564775e-11,0.0005789186700429319,-2.9776470947650835e-08,5.881309981567917e-08,-2.059531678257233e-12,0.021900047782815204,1.989607747670572e-06,-7.928110040792395e-10,6.040076199482284e-10,2.059765673623204e-05,12.024877170192589
-1.0416457276762543e-11,11.3012,1.0407641621211945e-11,-4.63309842350648e-24,1.1419698908850721e-11,4.628929681625839e-24,-1.6874322039815926e-26,1.8307627428602526e-14,1.8307627428602526e-14,0.0011638325689762407,3.297188986722762e-15,1.8854057605730286e-18,-1.3111900391961531e-08,-8.542403806495276e-13,6.784709339706504e-05,0.0012383500343304103,3.279783346860421e-08,-1.3808197177955023e-13,2.9565529544465007e-07,1.3808197177955023e-13,1.2690665379169557e-07,-3.8094864062436805e-11,-3.00515293493972e-11,-2.6414732687643493e-15,2.1128104365915863e-07,0.00024701038484627034,1.5053741241338309e-09,0.0005784138975487942,-1.492359849595682e-07,5.8841682770195356e-08,-1.0181352078804133e-11,0.021897267890424826,9.945534451177616e-06,-1.972005504285153e-08,3.019978699602075e-09,0.0001029823439926414,12.024876753875546
-1.0184182210386789e-11,11.3012,1.0177802790296283e-11,-4.1444761907694145e-24,9.487892662352184e-12,4.141801546417033e-24,-1.6498085442492748e-26,1.8307675011326356e-14,1.8307675011326356e-14,0.0032584335885140828,4.194903687587564e-15,5.278620204059897e-18,-2.471877471404556e-10,-2.1261352030116343e-13,0.00018995542719644777,0.0034670799057930175,9.182585973692964e-08,-8.37722120007878e-12,2.315282761848352e-06,8.37722120007878e-12,9.846941025902291e-07,-8.395831296323114e-10,-2.3569100308152897e-10,-5.807760325681487e-14,1.6499926208298907e-06,0.00024202597023497864,1.1800378207658056e-08,0.0005773202540823047,-4.199485950248784e-07,5.8899056781968225e-08,-2.7805746445313473e-11,0.021891156619458042,2.782613489406635e-05,-1.528653280619548e-07,8.45409119858661e-09,0.000288325618200469,12.02486702281836
-1.00622e-11,11.3012,1.00571e-11,-3.887870000000001e-24,8.47338e-12,3.88598e-24,-1.63005e-26,1.83077e-14,1.83077e-14,0.00435844,4.66635e-15,7.06061e-18,6.50888e-09,1.24345e-13,0.00025408217440142157,0.004637524474714517,1.2282481532550193e-07,-5.689583272434924e-11,4.7663557499299915e-06,5.689583272434924e-11,2.0054298795388235e-06,-3.0493840041446944e-09,-4.860064957508652e-10,-2.099674894585896e-13,3.38592126265077e-06,0.00023948775894446213,2.432098240576978e-08,0.0005767909924630665,-5.637938788355374e-07,5.8918819245553156e-08,-3.6462153309374633e-11,0.021888090986767906,3.718617040210201e-05,-3.109766433810681e-07,1.1303648975520953e-08,0.000385661,12.024862360247493
-9.771318220320797e-12,11.3012,9.76926915694265e-12,-3.275960564919027e-24,6.0541481481065235e-12,3.2759416471441477e-24,-1.5829332893183764e-26,1.8307759588605897e-14,1.8307759588605897e-14,0.006981542349243974,5.790572474268098e-15,1.1309986704763981e-17,2.2619565350675763e-08,9.27864576768459e-13,0.00040700039331936175,0.007428595386974508,1.9674568740355946e-07,-1.7259450733430082e-10,1.0611244694277487e-05,1.7259450733430082e-10,4.439501523588973e-06,-8.318929531124594e-09,-1.0829149773897513e-09,-5.7216784862202e-13,7.525459406186899e-06,0.00023343507786050587,5.4177923186374786e-08,0.0005755289021858715,-9.068108812380155e-07,5.896594530237901e-08,-5.7104434067045666e-11,0.02188078060363973,5.95063413336236e-05,-6.880127754663135e-07,1.8098774550185493e-08,0.000617769345912289,12.02480948491948
-9.57405e-12,11.3012,9.57407e-12,-2.8609800000000003e-24,4.41349e-12,2.86223e-24,-1.55098e-26,1.83078e-14,1.83078e-14,0.00876046,6.55299e-15,1.41918e-17,3.35454e-08,1.4727899999999998e-12,0.0005107054274876629,0.009321410843971902,2.468744270027277e-07,-6.950779814099333e-10,1.824466800748384e-05,6.950779814099333e-10,7.517873522322207e-06,-2.1619353091894227e-08,-1.8656178585865162e-09,-1.4743137485852933e-12,1.2881618303893732e-05,0.00022954605129487063,9.330114030466618e-08,0.0005747865860806049,-1.142579593851744e-06,5.896637882596964e-08,-6.97431757681759e-11,0.021876202862874478,7.45211780914068e-05,-1.1631803276253801e-06,2.268619575124722e-08,0.000775179,12.024773626290349
-7.825146502450033e-12,11.3012,7.835500053055751e-12,-2.6472898010506523e-24,2.26177779869815e-12,2.645842907790636e-24,-1.2676518400706431e-26,1.8307618391026262e-14,1.8307618391026262e-14,0.012797663808000504,8.38267316906883e-15,2.0731993166755953e-17,1.016138962289612e-07,8.187264218404058e-12,0.0007460598057570519,0.013617078924436974,3.606395728937511e-07,-1.880833081760578e-09,3.5568413304468506e-05,1.880833081760578e-09,1.4504114196694529e-05,-5.18041261163584e-08,-3.6419303727386125e-09,-3.5216973601615417e-12,2.5037204167122408e-05,0.00022072006288679778,1.8208969830109456e-07,0.0005731019297200386,-1.6776471459488375e-06,5.896736269021458e-08,-9.842628858938672e-11,0.021865813865461527,0.00010859674248695462,-2.241553857985469e-06,3.3097162521515274e-08,0.001132413839837088,12.02439632460829
-7.64804e-12,11.3012,7.65944e-12,-2.62565e-24,2.04388e-12,2.6239300000000002e-24,-1.23896e-26,1.83076e-14,1.83076e-14,0.0132065,8.56796e-15,2.13943e-17,1.0850699999999998e-07,8.86722e-12,0.0007698934768715456,0.014052074029509748,3.721583560229099e-07,-2.442654383118517e-09,3.856918925378471e-05,2.442654383118517e-09,1.565790507091528e-05,-6.089618176343663e-08,-3.950855616830685e-09,-4.123327571453739e-12,2.711476848954156e-05,0.00021989462209232185,1.975411002778151e-07,0.0005729629506934006,-1.7322355734644151e-06,5.895726032244625e-08,-1.0098308382640295e-10,0.021864891231192205,0.00011198773049281752,-2.4186610907693557e-06,3.414068554719118e-08,0.00116859,12.024358116335716
-6.25273e-12,11.3012,6.27411e-12,-5.96796e-24,8.20929e-12,5.98504e-24,-1.01291e-26,1.83075e-14,1.83075e-14,0.017697,9.5455e-15,2.86688e-17,2.65538e-07,3.571889999999999e-11,0.0010316766283916758,0.01882995272703578,4.98677822316726e-07,-8.613560667513063e-09,7.152897044922532e-05,8.613560667513063e-09,2.8330858800858974e-05,-1.6076107331348922e-07,-7.344014127496248e-09,-1.0731485081272536e-11,4.99342214053759e-05,0.0002108281844657748,3.67255479797405e-07,0.0005714364394222792,-2.3318213663079635e-06,5.8846298412319014e-08,-1.2906629063589597e-10,0.021854757244465475,0.00014923350445174074,-4.363963152396802e-06,4.560248448840155e-08,0.00156594,12.02435811633579
