y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
1.110223024625157e-16,2.021587241307348e-14,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.589292246274055e-34,0.000000000000000e+00,2.862807365832878e-34,0.000000000000000e+00,-2.346126519412066e-37,0.000000000000000e+00,2.226049806053466e-34,4.073908701899839e-02,2.977802388652551e-69,1.370448546800706e-01,-2.321575625628871e-39,2.103148109563070e-05,8.524289187860165e-39,2.411154896078003e+00,-6.476413199957319e-19,0.000000000000000e+00,-2.012390826783270e-20
5.791461380333374e-05,1.054557883895367e-02,1.054527346420741e-02,9.999420842626848e-01,1.358014635953491e-06,-9.921444054028660e-13,1.523861648546785e-05,9.921444054028654e-13,4.519133463213460e-06,-8.884807685445174e-10,-2.353870084643020e-09,6.249864583458657e-13,9.878875470412859e-06,4.053386223736090e-02,8.296710341043445e-08,1.370084065741673e-01,-1.598192395355631e-05,2.130056725012419e-05,1.114028744458289e-08,2.410914322102916e+00,5.592224685044171e-04,-6.349321721758292e-07,-1.441595965662705e-06
2.141030191135096e-04,3.898567424427084e-02,3.898150028900437e-02,9.997858487893706e-01,5.020418663319229e-06,-1.838486077114268e-10,2.081908423874390e-04,1.838486077114267e-10,6.134422860142615e-05,-4.496609804658740e-08,-3.271892499782144e-08,3.164324390813204e-11,1.347676274187364e-04,3.998745043632571e-02,1.133910391842039e-06,1.369139684581508e-01,-5.921031827938527e-05,2.202002218768680e-05,4.026226481460402e-08,2.410274681641303e+00,2.065253924049939e-03,-8.613788967420908e-06,-5.328268934819282e-06
5.088966186284072e-04,9.266416643727822e-02,9.264057361745806e-02,9.994904794541939e-01,1.193304322157038e-05,-5.780802944012519e-09,1.175434591648848e-03,5.780802944012517e-09,3.421723482814728e-04,-6.057419558524183e-07,-1.906320296351673e-07,4.261359083325508e-10,7.588063603666324e-04,3.898224928387050e-02,6.406330237723770e-06,1.367497577103695e-01,-1.412470944013362e-04,2.335437153782862e-05,9.131580854663062e-08,2.409103745574031e+00,4.898340122377840e-03,-4.799215016393094e-05,-1.266135350260553e-05
9.825876412230539e-04,1.789178025409327e-01,1.788297016728879e-01,9.990129620892997e-01,2.304140695828294e-05,-7.844260359894237e-08,4.377914073883620e-03,7.844260359894234e-08,1.249924060188902e-03,-4.382441321219609e-06,-7.446764801303498e-07,3.072725008112352e-09,2.813958288338060e-03,3.743184004547971e-02,2.388608290385784e-05,1.365191513424332e-01,-2.739948008350654e-04,2.543944677609485e-05,1.615097051034707e-07,2.407321388024054e+00,9.418877713829377e-03,-1.749732540830859e-04,-2.444517605183465e-05
1.675417754204322e-03,3.050741230036028e-01,3.048168764012739e-01,9.983025007030224e-01,3.929225734732732e-05,-6.403494903955971e-07,1.271217376573405e-02,6.403494903955967e-07,3.528295617021075e-03,-2.188401568386097e-05,-2.305540482839069e-06,1.517994375992155e-08,8.120554866122759e-03,3.529431936403180e-02,6.946529446098401e-05,1.362420631147557e-01,-4.691722611925102e-04,2.837389111237851e-05,2.344210753408712e-07,2.404933620040933e+00,1.593778324058106e-02,-4.924497834067329e-04,-4.170747474683350e-05
2.627566689856309e-03,4.784493906250172e-01,4.778105936207722e-01,9.972867212073092e-01,6.163868085817256e-05,-3.693668151353024e-06,3.121804571121235e-02,3.693668151353023e-06,8.336862062457271e-03,-8.522579081274767e-05,-6.127648493614113e-06,5.767547268476103e-08,1.977930072091049e-02,3.258318445453474e-02,1.709402561281691e-04,1.359463211933417e-01,-7.364968053147009e-04,3.221147049616946e-05,2.691147329090601e-07,2.402074295716869e+00,2.465899027969907e-02,-1.158595035080157e-03,-6.555042734124271e-05
3.879140889489485e-03,7.063465227694476e-01,7.049276244031449e-01,9.958423731455345e-01,9.105348708172002e-05,-1.648997817997888e-05,6.791548146777156e-02,1.648997817997887e-05,1.724981352970700e-02,-2.774244412460000e-04,-1.460204784039972e-05,1.790915521566326e-07,4.259089248782927e-02,2.937024649065166e-02,3.728271475502810e-04,1.356400810611265e-01,-1.079595853508720e-03,3.693318364722381e-05,1.860414678958722e-07,2.399053873610998e+00,3.558890877811011e-02,-2.383123299547254e-03,-9.724922081522395e-05
5.412247554401284e-03,9.855074485118559e-01,9.826535702095622e-01,9.938229042255892e-01,1.271901290993056e-04,-5.795691676026456e-05,1.319161704504517e-01,5.795691676026455e-05,3.154024581224655e-02,-7.627739716400079e-04,-3.122343781061860e-05,4.561648532081648e-07,8.175718658972926e-02,2.590369831538928e-02,7.261840749169805e-04,1.352730418102042e-01,-1.474555557272487e-03,4.217813347030947e-05,-1.294719385310175e-07,2.396486732275426e+00,4.797506000154442e-02,-4.325084688514180e-03,-1.368792356028446e-04
7.226453384460596e-03,1.315853268928577e+00,1.310498745174586e+00,9.909335835295503e-01,1.701795753179297e-04,-1.687048527313747e-04,2.344859287599063e-01,1.687048527313747e-04,5.228386821898569e-02,-1.836236682518294e-03,-6.115172579754754e-05,9.821533423186591e-07,1.434692509158117e-01,2.237554399740967e-02,1.294381072978063e-03,1.346680023805352e-01,-1.886650404530478e-03,4.746608489415349e-05,-8.123998174855140e-07,2.395042488232018e+00,6.099721881650903e-02,-7.106662953953484e-03,-1.852192749022444e-04
9.321245632810338e-03,1.697290618769450e+00,1.687704824580202e+00,9.866998507385480e-01,2.202379253568042e-04,-4.226253423479958e-04,3.883935199435281e-01,4.226253423479956e-04,8.011913992250493e-02,-3.972620854001036e-03,-1.113855087896860e-04,1.828090760314346e-06,2.344676426041905e-01,1.897298390665481e-02,2.149012962733909e-03,1.335010078602683e-01,-2.263155538662240e-03,5.208271015039530e-05,-2.000903301575291e-06,2.395490737591581e+00,7.364693501628636e-02,-1.078310338403004e-02,-2.431939986491842e-04
1.169603225078431e-02,2.129711692845490e+00,2.113080599960335e+00,9.804277480906044e-01,2.776567642047383e-04,-9.375299630725359e-04,6.070607488327139e-01,9.375299630725357e-04,1.151549850793733e-01,-7.866125207985528e-03,-1.908076683546917e-04,2.997779153363569e-06,3.615766319375798e-01,1.587843020712004e-02,3.364047009338156e-03,1.313210332425813e-01,-2.535534361626275e-03,5.514826105482788e-05,-3.812838537081680e-06,2.398679593828675e+00,8.482314365419209e-02,-1.533700941146137e-02,-3.115481940060873e-04
1.435014205523744e-02,2.612994276497792e+00,2.584774989317042e+00,9.711969410859870e-01,3.427520101039808e-04,-1.881702252633989e-03,9.030042061102461e-01,1.881702252633988e-03,1.569683248142247e-01,-1.443729770925802e-02,-3.100006363403420e-04,4.429117400153587e-06,5.309271165885524e-01,1.326225621831228e-02,5.005570764573931e-03,1.276499870511046e-01,-2.627407392001793e-03,5.575289369969817e-05,-6.319958456928525e-06,2.405503243616009e+00,9.346742690701973e-02,-2.068656176774319e-02,-3.903109986916221e-04
1.728282491824162e-02,3.147001780138933e+00,3.100004373195065e+00,9.579112490567936e-01,4.157998337811938e-04,-3.474013279730355e-03,1.285473960840100e+00,3.474013279730353e-03,2.046903130216458e-01,-2.478251412511736e-02,-4.807346736090554e-04,6.113465687704205e-06,7.468191435707380e-01,1.126496645365019e-02,7.117445092925961e-03,1.221645582260689e-01,-2.467726447293509e-03,5.301733178378100e-05,-9.515557389102587e-06,2.416859272412692e+00,9.871905639162561e-02,-2.670336350154852e-02,-4.781507005204982e-04
2.049325197909280e-02,3.731583277857002e+00,3.654779895855040e+00,9.394217193012723e-01,4.970573889077055e-04,-5.976855537301550e-03,1.757566875461422e+00,5.976855537301548e-03,2.571626895376743e-01,-4.005098962873516e-02,-7.147291281079425e-04,8.364558463294196e-06,1.010353210268199e+00,9.973752751846650e-03,9.705697246765255e-03,1.148918922549281e-01,-2.006140180040096e-03,4.608767734008525e-05,-1.326552441196593e-05,2.433599410934936e+00,1.000678611458373e-01,-3.323343220397888e-02,-5.718062717472813e-04
2.398051587857197e-02,4.366573550071815e+00,4.243706300018299e+00,9.147131970348874e-01,5.870163561684133e-04,-9.682968084469860e-03,2.313568707715156e+00,9.682968084469855e-03,3.131277127299586e-01,-6.125843160568498e-02,-1.020889047314607e-03,1.215304759971547e-05,1.318189694264792e+00,9.404328439067461e-03,1.272664423185421e-02,1.063020968405311e-01,-1.225918435687452e-03,3.447131316998740e-05,-1.724283040547005e-05,2.456479070969381e+00,9.748090102927333e-02,-4.011485156087959e-02,-6.657673272839323e-04
2.774363101539001e-02,5.051793130230531e+00,4.859931830114997e+00,8.831157028570847e-01,6.869903318480918e-04,-1.489855746534439e-02,2.937557397533012e+00,1.489855746534439e-02,3.714041572814114e-01,-8.907606121285619e-02,-1.400724710116752e-03,1.928077528686654e-05,1.661930056139884e+00,9.498064649953675e-03,1.608376647051651e-02,9.721611705074089e-02,-1.501234920573883e-04,1.891878423095488e-05,-2.087500537106037e-05,2.486110922387531e+00,9.147521934676806e-02,-4.718763927299844e-02,-7.522817407204531e-04
3.178153382474769e-02,5.787048355530207e+00,5.495307682429419e+00,8.444826176908573e-01,7.999468491279062e-04,-2.192549761620868e-02,3.604094177442274e+00,2.192549761620867e-02,4.310059585634369e-01,-1.236529479789241e-01,-1.843654766150019e-03,3.212470619302420e-05,2.028512816810959e+00,1.013699892672243e-02,1.963576847231367e-02,8.855602818075982e-02,1.161056618213870e-03,1.943867678584930e-06,-2.336848893783813e-05,2.522925940609015e+00,8.310928791805167e-02,-5.429472517121046e-02,-8.217847752403522e-04
3.609308307892944e-02,6.572131421652430e+00,6.140767561712847e+00,7.992811299755326e-01,9.312370749465279e-04,-3.104477751788732e-02,4.281139627992105e+00,3.104477751788730e-02,4.911807223701868e-01,-1.645259902406629e-01,-2.325263778162770e-03,5.284987218374078e-05,2.401682563940089e+00,1.117059051988018e-02,2.321436205948110e-02,8.106072172467706e-02,2.620885392903500e-03,-1.295324953375841e-05,-2.388292294414721e-05,2.567142571542642e+00,7.387806523438591e-02,-6.127644848237863e-02,-8.640816062964215e-04
4.067706020984729e-02,7.406820441494814e+00,6.786879590617578e+00,7.485664371113741e-01,1.088735151491411e-03,-4.250216402924681e-02,4.934499454073811e+00,4.250216402924679e-02,5.513739004205425e-01,-2.106457367971548e-01,-2.809969533481385e-03,8.230220383638322e-05,2.764187759261800e+00,1.244397658230475e-02,2.664710806059038e-02,7.510035900731019e-02,4.131229875569990e-03,-2.280669170178764e-05,-2.184714399014131e-05,2.618742282627835e+00,6.552123432144748e-02,-6.796351242345727e-02,-8.708518067594398e-04
4.553216965344320e-02,8.290879507882680e+00,7.424476521405005e+00,6.938474476709270e-01,1.281998705419457e-03,-5.649592472004498e-02,5.532573639845174e+00,5.649592472004494e-02,6.111474817699647e-01,-2.605101038780337e-01,-3.256767762112449e-03,1.190196219349079e-04,3.100108523167592e+00,1.381945544483790e-02,2.977949037731091e-02,7.065168492846152e-02,5.598020680060496e-03,-2.631332034421352e-05,-1.725469477042050e-05,2.677449468898012e+00,5.978147593197868e-02,-7.417393952246648e-02,-8.395914736454245e-04
5.065703921585307e-02,9.224058760243272e+00,8.045252641938248e+00,6.368822289116224e-01,1.520373559899216e-03,-7.316598711069017e-02,6.050190367179160e+00,7.316598711069011e-02,6.700904520324049e-01,-3.123678937631095e-01,-3.625970706785653e-03,1.588416298101141e-04,3.396723403161127e+00,1.518805142196692e-02,3.249136202989954e-02,6.740649461695759e-02,6.943378898459072e-03,-2.393529055736016e-05,-1.076449766450701e-05,2.742716147196468e+00,5.816631118358873e-02,-7.971787772011693e-02,-7.773812042521663e-04
5.605022046122787e-02,1.020609445522346e+01,8.642230696990662e+00,5.794553387980897e-01,1.810394158772749e-03,-9.258423460511958e-02,6.470767249397223e+00,9.258423460511954e-02,7.277522907766807e-01,-3.644404601041661e-01,-3.886192019161250e-03,1.954819238075630e-04,3.645551887389512e+00,1.647236277629669e-02,3.470520046629214e-02,6.493598780923981e-02,8.112445150808060e-03,-1.708818162341767e-05,-3.578648980022290e-06,2.813715409833418e+00,6.176530461953361e-02,-8.441071729658142e-02,-7.010864032743497e-04
6.171018912110404e-02,1.123670904123138e+01,9.210040607552013e+00,5.231847960257031e-01,2.153252595819812e-03,-1.147464080104718e-01,6.786672212006110e+00,1.147464080104718e-01,7.836167439319145e-01,-4.151141817981358e-01,-4.021285324071000e-03,2.221428939238174e-04,3.842517681974248e+00,1.762346947415312e-02,3.638621995201128e-02,6.283585080725135e-02,9.074856075292462e-03,-7.513621114081071e-06,2.864656714351057e-06,2.889349553662338e+00,7.115662484422032e-02,-8.809157508286421e-02,-6.319354042959943e-04
6.763534552520467e-02,1.231561123688027e+01,9.744998377122059e+00,4.693897276407423e-01,2.543361121464446e-03,-1.395668125823063e-01,6.998169300065741e+00,1.395668125823062e-01,8.371159630122439e-01,-4.630725617252414e-01,-4.033978841894633e-03,2.337586310281811e-04,3.987426037830145e+00,1.861516637224870e-02,3.753636939296390e-02,6.080924255249288e-02,9.822143155031477e-03,2.676066354137155e-06,7.352973531420399e-06,2.968279116905479e+00,8.641075264803859e-02,-9.064257176401865e-02,-5.880059119010352e-04
7.382401505355363e-02,1.344249611331326e+01,1.024501391087453e+01,4.190292015165136e-01,2.968871483883799e-03,-1.668773391292722e-01,7.111571191330707e+00,1.668773391292721e-01,8.876718001968574e-01,-5.073569591904077e-01,-3.940943700915009e-03,2.288665132695295e-04,4.083060165328418e+00,1.943839595169049e-02,3.818509562180046e-02,5.868489874298365e-02,1.036276387345998e-02,1.168464252409990e-05,9.394799490770943e-06,3.048977702533654e+00,1.071726265012825e-01,-9.200477701939683e-02,-5.823592561627129e-04
8.027444860977029e-02,1.461704518038482e+01,1.070938142498578e+01,3.727047295375231e-01,3.414235706173621e-03,-1.964317512793433e-01,7.137185486976591e+00,1.964317512793433e-01,9.347498174610019e-01,-5.473635479152128e-01,-3.761972114774689e-03,2.100688364796216e-04,4.134183527858468e+00,2.009610818435498e-02,3.837961561824089e-02,5.639529866183295e-02,1.071628009413961e-02,1.980869186516129e-05,9.519090142901564e-06,3.129810135167209e+00,1.327829041121874e-01,-9.218803122899574e-02,-6.286635422618662e-04
8.698482311541555e-02,1.583892647667542e+01,1.113851203659422e+01,3.307061931088559e-01,3.863902056983745e-03,-2.279146587621945e-01,7.087461053574459e+00,2.279146587621944e-01,9.779160784082549e-01,-5.827977012925378e-01,-3.517696108997833e-03,1.828912795241122e-04,4.146645895372454e+00,2.059810410983366e-02,3.817649650933964e-02,5.394284817069616e-02,1.090791122157984e-02,2.866817157526697e-05,9.065134811378876e-06,3.209117919100108e+00,1.623932256130504e-01,-9.127301898254161e-02,-7.465061639284020e-04
9.395324202524546e-02,1.710779466331326e+01,1.153365672387442e+01,2.930765061612766e-01,4.305915013832057e-03,-2.609533892848976e-01,6.975545685815461e+00,2.609533892848973e-01,1.016886470307611e+00,-6.136109637722089e-01,-3.239029491621754e-03,1.536503143288673e-04,4.126692772703985e+00,2.095580247984396e-02,3.763523949302263e-02,5.136830187411707e-02,1.096439221930284e-02,3.763559958472553e-05,9.409334565055179e-06,3.285288876391734e+00,1.950519423322701e-01,-8.940479446553433e-02,-9.622120944193830e-04
1.011777358632303e-01,1.842329112157711e+01,1.189664875554680e+01,2.596769290234392e-01,4.734430862740905e-03,-2.951317284516914e-01,6.814305655229990e+00,2.951317284516913e-01,1.051549925198251e+00,-6.399377923894832e-01,-2.967641865584488e-03,1.269028997699681e-04,4.080493654439966e+00,2.117875099868182e-02,3.681395682600815e-02,4.872402163839142e-02,1.091137416124788e-02,4.371256576844932e-05,1.114313391735433e-05,3.356801133119419e+00,2.297735646375360e-01,-8.677790228959123e-02,-1.306796861199840e-03
