y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.437950032123970e-36,0.000000000000000e+00,1.265037023345603e-36,0.000000000000000e+00,3.144012506138829e-37,0.000000000000000e+00,9.576036452155493e-37,2.339474083928723e-04,1.796184121054278e-71,4.447014465514088e-04,2.301075750098021e-39,5.020014996702070e-05,2.288702134151578e-39,1.792201559346323e-02,6.324587260057564e-20,0.000000000000000e+00,1.373922079231075e-20
4.960055044689327e-06,2.695770315769523e-03,2.472021768083773e-06,1.159920752622755e-03,1.716446614629383e-06,2.840846114748564e-17,2.754421402940542e-09,2.840689675325491e-17,1.547696549874929e-09,5.756592057322232e-14,3.647605415126087e-10,7.927731657659217e-15,1.579731138158619e-09,2.336106098283840e-04,1.941211678634328e-11,4.446524617736259e-04,1.751652477612937e-08,5.018596753877502e-05,2.179226399210093e-09,1.792168163874123e-02,1.684880985789296e-06,2.642325172607047e-10,9.760930395614178e-07
2.479993079318454e-05,1.347866438236128e-02,1.235981491353074e-05,1.159897797987096e-03,8.582112832760510e-06,1.768704375589502e-14,6.884397545949162e-08,1.768606749187883e-14,3.857854218813442e-08,7.202577120267880e-12,9.113613221165476e-09,9.918351223833403e-13,3.945819583568496e-08,2.322700665526426e-04,4.852900355867971e-10,4.444593722897487e-04,8.768759655807580e-08,5.012937800966604e-05,1.085418068377514e-08,1.792035269908646e-02,8.423918355474920e-06,6.585048639027883e-09,4.880272187836070e-06
6.943835963846290e-05,3.773947405876450e-02,3.460599450530935e-05,1.159846359262437e-03,2.402939442662646e-05,1.077820039875175e-12,5.394614735167004e-07,1.077760230629343e-12,3.004676198523712e-07,1.584529786150743e-10,7.135727012766647e-08,2.181535762856342e-11,3.087472558540886e-07,2.292913221053526e-04,3.804547720791378e-09,4.440408792471003e-04,2.461625063241425e-07,5.000279351938812e-05,3.012494166625104e-08,1.791740273947753e-02,2.358395633812086e-05,5.126364096027931e-08,1.366336172765661e-05
1.487923519430945e-04,8.086805528724719e-02,7.415074201104638e-05,1.159755113079632e-03,5.148994506032673e-05,2.238188167126407e-11,2.474999252039538e-06,2.238062760402353e-11,1.363706963162521e-06,1.565117504208588e-09,3.269084250948430e-07,2.153682106470734e-10,1.412915246880993e-06,2.241169220412830e-04,1.746947084467818e-08,4.433475102775948e-04,5.297270199091759e-07,4.977988957138684e-05,6.351983701278245e-08,1.791229530425917e-02,5.052452728330717e-05,2.324664151354446e-07,2.927109923805247e-05
2.727765073938793e-04,1.482529538173228e-01,1.359299972037499e-04,1.159610738204773e-03,9.439393844650677e-05,2.469212826932563e-10,8.308390799512187e-06,2.469072301345362e-10,4.501388234973768e-06,9.701608886101085e-09,1.094873062147911e-06,1.333313075781852e-09,4.724718345582681e-06,2.163188495549860e-04,5.871810808390590e-08,4.423792603985964e-04,9.766462046906347e-07,4.943568671239811e-05,1.134314729589068e-07,1.790466470050746e-02,9.258558262469200e-05,7.662574053934735e-07,5.363073158569499e-05
4.513023265247940e-04,2.452810310211923e-01,2.248726994384341e-04,1.159391104372017e-03,1.561684110894281e-04,1.788574677591262e-09,2.270710960110801e-05,1.788470501540770e-09,1.200826286669176e-05,4.430785646564911e-08,2.982035020736404e-06,6.072395193497830e-09,1.284339525506132e-05,2.056504385742781e-04,1.607597469754734e-07,4.411927395090920e-04,1.625619926204023e-06,4.894550262597069e-05,2.161159253292955e-07,1.789442309425278e-02,1.530569157514229e-04,2.039790373993187e-06,8.861524078792709e-05
6.942775224545450e-04,3.773370898258246e-01,3.458951559993224e-04,1.159047725026375e-03,2.402337693030450e-04,9.569095725083351e-09,5.363669910678892e-05,9.568520109227529e-09,2.744871279424661e-05,1.630768827172319e-07,7.009569634545715e-06,2.222662352858025e-08,3.012609921932238e-05,1.920929040911599e-04,3.805827009854344e-07,4.398836527970164e-04,2.511413543073374e-06,4.828258628003726e-05,3.197850222051347e-07,1.788189349077206e-02,2.351118421758533e-04,4.648560677667576e-06,1.359685135921598e-04
1.006645277842999e-03,5.471077304725138e-01,5.014177442383012e-04,1.158478077628967e-03,3.482817322937066e-04,3.988685941584334e-08,1.125082975839879e-04,3.988435777174315e-08,5.521022842325280e-05,5.034642442969352e-07,1.460710154061549e-05,6.796642188725282e-08,6.266236497802514e-05,1.761262563014367e-04,8.003991061507498e-07,4.385403385227234e-04,3.636777482406024e-06,4.742857617316751e-05,4.426357555058503e-07,1.786816684870375e-02,3.400327319128424e-04,9.312846797702915e-06,1.962287155269433e-04
1.388383901632650e-03,7.545811639572240e-01,6.913390633722158e-04,1.157478222580266e-03,4.802686275229898e-04,1.344499829200363e-07,2.134723916730622e-04,1.344411110510516e-07,9.957061711892753e-05,1.338885467729389e-06,2.748525523714956e-05,1.781547536501389e-07,1.177760458184024e-04,1.585970953414457e-04,1.522878646517208e-06,4.370968235911771e-04,4.958368989913270e-06,4.637286950902458e-05,5.856464334367864e-07,1.785502830029626e-02,4.671404889893029e-04,1.671273289611992e-05,2.686508088088900e-04
