y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999999999e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,7.370957717039190e-36,0.000000000000000e+00,-1.239442030111731e-39,0.000000000000000e+00,3.685478858519595e-36,8.812605009043407e-02,6.050803941365503e-71,2.096542335591995e-01,-1.131832021612060e-41,6.282806592034096e-06,1.118129604809162e-41,9.123154097443921e+00,1.467080355915975e-20,0.000000000000000e+00,2.049042156686702e-22
1.137017775942883e-05,5.700667374353908e-03,5.700667374090392e-03,9.999999997862073e-01,1.184998689718836e-07,-1.976570809667663e-13,6.812340365807908e-06,1.976570809667663e-13,2.859845945865968e-06,-2.075017192118809e-10,-2.044731436778803e-10,4.412808923413380e-15,4.836093254665479e-06,8.787767700424176e-02,3.321696282092886e-08,2.095977447536914e-01,-1.277267752633088e-05,6.301048893053037e-06,2.748218859809273e-10,9.122845917453908e+00,8.742457944929454e-04,-4.394909355648584e-07,-1.847054996194493e-06
5.684907886405188e-05,2.850242942539999e-02,2.850242924016876e-02,9.999999739890428e-01,5.924804003399991e-07,-1.226253934021451e-10,1.702068037795842e-04,1.226253934021451e-10,7.108971198198523e-05,-2.600000388669794e-08,-5.141026466343907e-09,5.533352898308000e-13,1.206483191934814e-04,8.689252881785280e-02,8.303760974101806e-07,2.093766654124572e-01,-6.406326609381635e-05,6.373629337905024e-06,1.442569773656479e-09,9.121626961904314e+00,4.370017163979586e-03,-1.091736271155792e-05,-9.234616715396972e-06
1.591698193881275e-04,7.980299126064701e-02,7.980297981882720e-02,9.999994255115182e-01,1.658864437021889e-06,-7.413167252552353e-09,1.332727123892426e-03,7.413167252552353e-09,5.502659900585537e-04,-5.738150493670846e-07,-4.082572146866159e-08,1.228025360905626e-11,9.415002635591160e-04,8.471512537168939e-02,6.509786697633623e-06,2.089022854035156e-01,-1.805289226913649e-04,6.537682707534275e-06,4.464144927552028e-09,9.118964585665358e+00,1.222398713972463e-02,-8.437579049573375e-05,-2.585358921510565e-05
3.410564671805227e-04,1.709955214777642e-01,1.709952785160244e-01,9.999942975268874e-01,3.554473129813409e-06,-1.517572019358628e-07,6.106706929506329e-03,1.517572019358628e-07,2.470232680755568e-03,-5.698570664304537e-06,-1.916946517947168e-07,1.241104407878219e-10,4.288545683731916e-03,8.099776542760936e-02,2.989249337753950e-05,2.081435758207724e-01,-3.904989427941088e-04,6.820947323470318e-06,1.114854273111992e-08,9.114504878118199e+00,2.612065802594130e-02,-3.777314502910638e-04,-5.538794159189408e-05
6.252204245906778e-04,3.134668385714681e-01,3.134640643037451e-01,9.999643876741872e-01,6.515986591359469e-06,-1.637288221796063e-06,2.046328960042876e-02,1.637288221796063e-06,8.017259088915008e-03,-3.560035393153443e-05,-6.657591872035359e-07,8.044953104240179e-10,1.424109298878279e-02,7.557789110627942e-02,1.004929802488839e-04,2.071522283051773e-01,-7.230535705203334e-04,7.230255661983523e-06,2.477318548227038e-08,9.108234134202673e+00,4.757704446667040e-02,-1.220452790698468e-03,-1.014947578671898e-04
1.034356813211845e-03,5.185955983518106e-01,5.185745003065568e-01,9.998357825396431e-01,1.078002684041738e-05,-1.148854802096127e-05,5.580082342109364e-02,1.148854802096127e-05,2.088468909282697e-02,-1.641855545092400e-04,-1.901266842213449e-06,3.955554792829668e-09,3.834850053097079e-02,6.851503703071068e-02,2.752234546946592e-04,2.060273151476637e-01,-1.201795144943586e-03,7.743069501661391e-06,5.031254181901421e-08,9.100693077596757e+00,7.768497872328793e-02,-3.157721202394322e-03,-1.677486045144199e-04
1.591140861214257e-03,7.977504826609803e-01,7.976301630823366e-01,9.993894437532079e-01,1.658398071697500e-05,-5.890645929651460e-05,1.314417633987542e-01,5.890645929651460e-05,4.626205985480650e-02,-6.104802199126257e-04,-4.723910982274293e-06,1.612931016642110e-08,8.888136485642860e-02,6.010243680739164e-02,6.516489396008342e-04,2.047852181387208e-01,-1.828178866673530e-03,8.284859590251098e-06,9.318669565120067e-08,9.093247268482605e+00,1.166508279659050e-01,-6.927705327583520e-03,-2.575266825261476e-04
2.306854116087109e-03,1.156587722304212e+00,1.156045866259443e+00,9.981010875244072e-01,2.405115107455363e-05,-2.327890922453463e-04,2.746865866287735e-01,2.327890922453463e-04,8.949885899807057e-02,-1.898752908140794e-03,-1.041435129977223e-05,5.576421178169772e-08,1.822091173595447e-01,5.099455181759391e-02,1.368740560744832e-03,2.031186486351697e-01,-2.540772151690857e-03,8.682984332679060e-06,1.545123725144207e-07,9.088446776996399e+00,1.625006904532043e-01,-1.323440018399449e-02,-3.719890041827361e-04
3.181382648813180e-03,1.595050196676604e+00,1.593058210497710e+00,9.949495042117652e-01,3.320129780780218e-05,-7.367313507956807e-04,5.181116977893880e-01,7.367313507956807e-04,1.542255215041699e-01,-5.050192673021810e-03,-2.051806807795579e-05,1.628894644860546e-07,3.365369753221768e-01,4.204827261884313e-02,2.590845712175082e-03,2.001090280670269e-01,-3.194899154386409e-03,8.667185782559540e-06,2.267024041361360e-07,9.089847602684541e+00,2.111201578177471e-01,-2.246134213012036e-02,-5.098887692849700e-04
4.214587249764312e-03,2.113068110230344e+00,2.106879044201531e+00,9.882464698324001e-01,4.409010266388957e-05,-1.945386926480750e-03,8.971166657240601e-01,1.945386926480750e-03,2.417534384367461e-01,-1.175299434121392e-02,-3.632631980202157e-05,4.019914426747097e-07,5.704077455436435e-01,3.407053716474720e-02,4.487453384933547e-03,1.942468245203536e-01,-3.583007487978992e-03,7.963110219914855e-06,2.966200518642809e-07,9.101666205701905e+00,2.575626913401678e-01,-3.461145433061962e-02,-6.691996668216033e-04
5.406303450860905e-03,2.710559003584820e+00,2.693859009447941e+00,9.756431836500294e-01,5.683471934149258e-05,-4.434365873319086e-03,1.443034910142891e+00,4.434365873319086e-03,3.508515127101152e-01,-2.435593007130205e-02,-5.779411014798476e-05,8.407660657017526e-07,8.991603943631623e-01,2.773890873721030e-02,7.187409539799975e-03,1.840677291288621e-01,-3.481056019189368e-03,6.480098694735812e-06,3.563873229485211e-07,9.128519192842836e+00,2.969505289472485e-01,-4.932605691345923e-02,-8.469169083431385e-04
